symbol,isin,first_seen,last_seen,buy_count,sell_count,dividend_count,position_move_count,net_cash_flow,event_delta_sum
씨티그룹,US1729674242,2025-07-17,2025-07-18,53,2,0,0,842405.0,51
엔비디아,US67066G1040,2024-05-28,2025-05-14,0,27,0,44,2664.0,15
이더리움 2배 ETF,,2024-08-29,2025-05-23,19,5,2,0,487951.0,14
이더리움 2배 ETF,US92864M7983,2024-07-04,2024-10-01,19,2,0,0,-569783.0,17
일드맥스 코인베이스,,2025-05-28,2025-05-28,0,1,0,0,12424.0,-1
일드맥스 코인베이스 옵션,,2025-05-23,2025-05-23,1,0,0,0,-12267.0,1
제이피모건 체이스,,2025-07-02,2025-07-17,3,6,0,0,598327.0,-3
코인베이스,US19260Q1076,2024-04-02,2025-06-26,6,3,0,0,434633.0,3
테슬라,US88160R1014,2024-04-09,2025-06-24,0,5,0,6,402.0,1
튜크리움 엑스알피,,2025-05-28,2025-05-28,0,0,0,1,0.0,1
튜크리움 엑스알피(리플),,2025-05-19,2025-06-26,4,6,0,0,1838743.0,-2
튜크리움 엑스알피(리플) 데일리,,2025-05-19,2025-05-19,2,0,0,0,-1936157.0,2
튜크리움 엑스알피(리플) 데일리 2,,2025-05-30,2025-06-27,0,4,0,0,4870525.0,-4
프로셰어즈 QQQ 3배,,2024-05-22,2024-05-22,0,0,0,1,0.0,1
프로셰어즈 QQQ 3배 ETF,,2024-04-02,2024-06-12,0,1,0,4,291.0,3
프로셰어즈 비트코인 선물,,2024-04-19,2024-05-24,3,2,1,0,2578.0,1
프로셰어즈 비트코인 선물 ETF,,2024-04-02,2024-10-31,3,2,3,0,950.0,1
프로셰어즈 트러스트,,2024-09-23,2024-09-24,1,1,0,0,70864.0,0
프로셰어즈 트러스트 울트라,,2025-05-05,2025-05-05,0,1,0,0,4853.0,-1
프로셰어즈 트러스트 울트라 비트코인,,2024-09-16,2025-04-29,5,1,0,0,-47067.0,4
