experiment,ticker,strategy,pnl,wr,n,avg
E,IREN,bb_macd_adx_btc2,19519295,56.2,16,14.84
E,IREN,max_conviction,19495213,62.5,8,38.01
E,PTIR,mstr_over5_ret3_btc,19487421,80.0,5,57.14
E,CONL,di_cross_surge_btc2,19438117,30.8,13,13.14
I,IREN,hh_hl_rsi_btc,19426208,50.0,14,16.45
E,IREN,consec3_btc2_vol,19421156,90.0,10,38.88
E,IREN,di_cross_surge_btc2,19346646,66.7,12,24.73
E,IREN,consec3_surge,19262058,66.7,24,16.07
E,CONL,consec4_btc1,19195599,80.0,10,48.04
I,IREN,consec3_surge,19191020,54.5,11,32.27
E,CONL,rsi7_80_btc2,19148439,40.0,10,23.35
E,PTIR,consec3_surge,19090077,62.5,16,16.01
G,PORTFOLIO,rs_rotation,19042671,47.8,69,9.21
E,IREN,consec3_btc2_vol,19037514,70.0,10,29.3
I,CONL,btc2_qqq_strong_vol,18984417,45.5,11,25.46
I,IREN,rsi7_80_btc2,18935784,75.0,8,51.78
E,IREN,consec4_btc1,18785682,60.0,10,28.52
G,PORTFOLIO,rs_rotation,18701612,56.8,44,14.18
G,PORTFOLIO,rs_rotation,18658752,63.5,85,7.32
G,PORTFOLIO,sector_rotation,18639982,57.3,96,9.72
E,CONL,mstr_over5_ret3_btc,18626716,30.8,13,12.91
E,IREN,consec4_btc1,18488754,70.0,10,29.89
G,PORTFOLIO,rs_rotation,18475766,55.6,72,8.56
I,IREN,consec3_surge,18467095,84.6,13,47.4
E,IREN,consec3_surge,18467095,84.6,13,47.4
E,CONL,bo5_vol_btc2_rsi,18464156,66.7,6,55.65
E,IREN,bb_macd_adx_btc2,18420623,66.7,15,30.73
G,PORTFOLIO,rs_rotation,18418534,64.1,78,7.88
E,IREN,consec4_btc1,18337303,66.7,9,37.25
G,PORTFOLIO,sector_rotation,18332570,54.5,88,10.43
I,CONL,rsi_accel_btc2_vol,18305587,37.5,8,23.42
E,PTIR,di_cross_surge_btc2,18253361,57.1,7,34.75
E,IREN,rsi_accel_btc2_vol,18219303,66.7,9,40.75
G,PORTFOLIO,rs_rotation,18208367,57.6,85,7.15
E,PTIR,di_cross_surge_btc2,18187346,75.0,8,27.89
E,IREN,bb_macd_adx_btc2,18176920,64.3,14,17.38
G,PORTFOLIO,rs_rotation,18140500,63.1,65,9.31
G,PORTFOLIO,sector_rotation,18064059,53.9,76,11.9
E,PTIR,bb_macd_adx_btc2,17980903,66.7,6,36.1
E,CONL,mstr5_bo10_btc2,17949137,40.0,10,21.82
I,IREN,qqq_strong_macd,17895106,50.0,12,27.17
E,IREN,consec3_surge,17891493,54.2,24,9.47
E,IREN,consec3_btc2_vol,17877291,75.0,8,48.24
I,IREN,bo10_btc2_qqq,17845085,77.8,9,44.57
E,CONL,max_conviction,17844383,50.0,8,37.95
E,PTIR,mstr_over5_ret3_btc,17806854,75.0,8,41.33
G,PORTFOLIO,sector_rotation,17793989,60.2,103,8.65
G,PORTFOLIO,rs_rotation,17780938,58.4,77,7.71
G,PORTFOLIO,rs_rotation,17645287,57.6,59,9.98
G,PORTFOLIO,rs_rotation,17638014,53.8,78,7.55
E,PTIR,mstr_over5_ret3_btc,17536797,60.0,5,52.82
E,CONL,rsi_accel_btc2_vol,17494235,44.4,9,32.93
E,IREN,bb_macd_adx_btc2,17475880,50.0,12,16.26
E,IREN,consec3_btc2_vol,17440496,77.8,9,48.49
E,PTIR,di_cross_surge_btc2,17439080,50.0,6,42.3
I,IREN,consec4_btc1,17433643,66.7,9,42.72
E,CONL,rsi7_80_btc2,17361247,33.3,12,24.73
E,IREN,di_cross_surge_btc2,17352236,66.7,12,22.07
E,CONL,bo10_macd_btc2,17342808,40.0,10,21.77
E,IREN,di_cross_surge_btc2,17331672,68.4,19,22.83
E,PTIR,mstr_over5_ret3_btc,17284518,60.0,5,58.22
E,CONL,bb_macd_adx_btc2,17284161,30.8,13,12.95
G,PORTFOLIO,rs_rotation,17261354,58.3,48,12.0
I,IREN,btc2_qqq_strong_vol,17255052,60.0,10,36.35
E,CONL,bb_macd_adx_btc2,17228222,55.6,18,19.16
I,CONL,hh_hl_rsi_btc,17222808,44.4,18,10.36
F,IREN,vcp_squeeze_bo,17166350,76.9,13,44.06
E,IREN,bb_macd_adx_btc2,17155315,71.4,21,20.44
E,IREN,rsi7_80_btc2,17147267,66.7,9,27.41
G,PORTFOLIO,rs_rotation,17113119,63.5,52,10.98
G,PORTFOLIO,rs_rotation,17087397,56.2,64,8.91
E,CONL,bo5_vol_btc2_rsi,17067120,66.7,6,61.77
G,PORTFOLIO,rs_rotation,17026802,59.4,32,17.75
E,IREN,rsi_accel_btc2_vol,17023270,72.7,11,38.73
E,CONL,bb_macd_adx_btc2,16968397,29.4,17,16.99
E,IREN,di_cross_surge_btc2,16967428,75.0,20,16.98
E,IREN,consec3_btc2_vol,16931847,83.3,6,51.74
E,CONL,consec3_surge,16902598,33.3,12,15.34
G,PORTFOLIO,sector_rotation,16887393,55.1,78,10.84
G,PORTFOLIO,conviction_sizing,16840799,48.7,156,7.89
G,PORTFOLIO,rs_rotation,16838345,59.5,74,7.59
G,PORTFOLIO,rs_rotation,16805240,62.0,100,8.41
E,CONL,mstr5_bo10_btc2,16801527,36.4,11,27.88
E,CONL,bo10_macd_btc2,16784882,33.3,12,25.21
G,PORTFOLIO,rs_rotation,16784134,48.8,86,9.77
