experiment,ticker,strategy,pnl,wr,n,avg
H,IREN,triple_regime_all,7316655,68.2,22,16.65
D,IREN,bo10_btc1plus,7316312,57.1,21,9.47
D,IREN,bo10_macd_btc,7316312,57.1,21,9.47
E,IREN,max_conviction,7312596,55.6,9,27.11
H,IREN,soxl_ret5_pos,7311378,64.0,25,14.64
E,NVDL,max_conviction,7311251,77.8,9,16.26
E,PTIR,di_cross_surge_btc2,7307478,54.5,11,11.71
D,IREN,ma_align60_btc2,7306134,70.0,10,22.94
F,CONL,hh_hl_rsi_btc,7305492,46.2,26,9.38
H,PTIR,soxl_ret5_pos,7305060,61.5,13,18.75
G,PORTFOLIO,rs_rotation,7305024,41.7,72,5.08
H,CONL,triple_regime_strong,7304835,59.5,42,5.8
I,IREN,ma_aligned_btc2_vol,7295597,75.0,8,30.43
H,PTIR,vix_mid_btc1_rsi,7291958,73.3,15,16.22
E,CONL,btc_regime3_all,7291580,70.0,10,14.6
H,PTIR,btc_qqq_coin_all,7290722,81.8,11,22.12
H,PTIR,btc_qqq_coin_all,7290722,81.8,11,22.12
E,NVDL,consec4_btc1,7289809,55.6,9,15.42
H,IREN,vix_low_btc2,7286765,69.6,23,10.57
H,PTIR,coin_bull_btc2,7286751,77.8,9,27.01
H,CONL,qqq_strong_consec,7286430,55.6,18,20.26
H,PTIR,vix_fall_qqq_bull,7282424,60.0,10,24.3
G,PORTFOLIO,rs_rotation,7277489,42.1,38,6.39
E,IREN,mstr_over5_ret3_btc,7275598,62.5,16,15.17
F,PTIR,hh_hl_btc2,7275075,75.0,12,20.23
E,PTIR,mstr5_bo10_btc2,7272498,57.1,7,26.0
F,CONL,hh_hl_rsi_btc,7269779,47.6,21,11.55
H,PTIR,soxl_ret5_pos,7269001,62.5,16,15.16
E,IREN,triple_confirm,7268401,80.0,5,29.1
E,PTIR,di_cross_surge_btc2,7265061,63.6,11,22.04
E,CONL,rsi_accel_btc2_vol,7262802,54.5,11,16.52
F,IREN,hh_hl_ma_btc2,7262456,75.0,28,8.65
I,SOXL,bo10_btc2_qqq,7261911,66.7,9,11.07
I,IREN,di_cross_surge_btc2,7261539,70.0,20,18.17
H,CONL,vix_spike_recover,7260477,47.8,23,10.53
I,SOXL,consec3_surge,7260064,66.7,12,20.19
E,NVDL,consec3_btc2_vol,7259211,66.7,3,47.27
E,IREN,bo10_macd_btc2,7256958,61.5,13,18.63
D,PTIR,bo5_btc2,7256478,80.0,10,24.76
D,IREN,ret3_strong_btc,7254340,64.0,25,14.52
E,PTIR,mstr_over5_ret3_btc,7254039,87.5,8,30.26
D,PTIR,bo5_btc2,7251629,75.0,8,29.04
E,CONL,bb_macd_adx_btc2,7251426,54.5,22,11.0
H,IREN,btc2_qqq_bull_bo,7250252,58.3,12,20.16
H,IREN,coin_bull_btc2,7250056,72.2,18,20.16
E,IREN,max_conviction,7248929,54.5,11,16.49
H,CONL,qqq_strong_consec,7248607,50.0,20,12.09
H,PTIR,qqq_strong_macd,7247686,80.0,10,24.18
F,CONL,gap_up3_vol_btc,7246776,61.1,18,20.15
E,NVDL,max_conviction,7246131,85.7,7,34.54
G,PORTFOLIO,rs_rotation,7245940,55.9,68,5.33
H,CONL,vix_mid_btc1_rsi,7244872,56.5,23,10.51
D,PTIR,surge_strong_btc2,7243925,77.8,9,40.28
H,PTIR,triple_regime_all,7241209,66.7,6,40.27
I,IREN,di_cross_surge_btc2,7237463,60.0,15,13.14
H,PTIR,vix_falling_btc2,7236465,73.9,23,10.5
H,CONL,triple_regime_strong,7235889,55.3,38,6.35
H,CONL,vix_falling_btc2,7235789,43.3,30,8.05
E,CONL,btc_strong3d_surge,7233654,66.7,9,26.82
E,NVDL,bo10_macd_btc2,7231234,77.8,9,26.81
E,NVDL,rsi_accel_btc2_vol,7224318,60.0,5,21.26
D,IREN,rsi14_65_btc2,7222468,63.6,11,17.97
E,CONL,consec4_btc1,7221876,40.0,10,17.44
E,MSTU,btc_strong3d_surge,7219482,75.0,4,36.13
F,CONL,gap_up3_vol_btc,7218733,68.0,25,14.45
E,CONL,mstr_rsi65_ma_btc2,7216878,62.5,8,18.06
H,PTIR,vix_mid_btc1_rsi,7215867,60.0,10,24.08
H,CONL,vix_falling_btc2,7214989,42.9,28,8.6
E,PTIR,mstr_rsi_ret3_btc2,7213086,83.3,6,40.11
F,IREN,gap_up3_btc1,7206546,57.1,28,8.59
E,NVDL,rsi_accel_btc2_vol,7204493,55.6,9,14.26
H,PTIR,vix_fall_qqq_bull,7203327,75.0,24,10.01
F,IREN,hh_hl_ma_btc2,7201896,70.6,17,21.2
E,CONL,bb_macd_adx_btc2,7201577,50.0,26,9.24
E,CONL,bo10_macd_btc2,7201463,46.7,15,16.02
H,IREN,coin_ret5_btc2,7197230,61.1,18,13.34
E,NVDL,all_green_ultra,7196630,85.7,7,20.58
I,TSLL,hh_hl_rsi_btc,7196227,58.3,12,8.06
E,IREN,triple_confirm,7194057,60.0,5,36.01
E,NVDL,bb_macd_adx_btc2,7193514,43.8,16,9.0
G,PORTFOLIO,rs_rotation,7191983,56.9,109,6.6
F,CONL,gap_up3_vol_btc,7188477,63.2,19,18.94
H,CONL,btc2_qqq_strong,7188369,55.0,20,17.99
I,CONL,triple_regime_strong,7187896,44.4,18,13.32
D,PTIR,bo5_btc2,7186863,62.5,8,26.45
I,SOXL,di_cross_surge_btc2,7186116,53.3,15,5.36
H,CONL,qqq_strong_macd,7184927,61.5,39,9.22
F,CONL,hh_hl_btc2,7179697,48.0,25,14.37
E,PTIR,di_cross_surge_btc2,7179548,66.7,12,11.98
I,IREN,vix_falling_btc2,7178745,65.4,26,13.82
H,IREN,coin_pct10_qqq,7177314,63.6,11,32.66
E,AMDL,bb_macd_adx_btc2,7175884,38.5,13,1.97
H,NVDL,soxl_ret5_pos,7174876,60.0,10,23.94
I,BITX,btc3_strong_rsi_accel,7174127,71.4,7,18.98
H,IREN,vix_falling_btc2,7170560,64.1,39,6.13
H,CONL,vix_falling_btc2,7169879,45.8,24,9.97
H,IREN,soxl_bull_qqq,7169098,59.4,32,7.48
F,PTIR,gap_up3_btc1,7165865,70.0,10,23.91
H,IREN,vix_fall_qqq_bull,7164006,50.0,22,16.3
F,IREN,ma10_pull_vol,7163356,80.0,10,23.9
H,IREN,triple_regime_all,7162872,60.0,20,17.93
H,PTIR,coin_bull_btc2,7161669,77.8,18,13.28
E,NVDL,consec3_surge,7159898,40.0,10,3.12
E,PTIR,btc_strong3d_surge,7155341,100.0,4,59.69
G,PORTFOLIO,rs_rotation,7153161,58.6,70,10.23
H,CONL,coin_pct10_qqq,7150344,61.5,26,9.18
H,PTIR,vix_mid_btc1_rsi,7150129,71.4,14,17.04
D,IREN,rsi14_65_btc2,7149851,56.2,16,13.27
H,CONL,vix_low_btc2,7149648,54.5,22,10.84
H,IREN,coin_bull_btc2,7149422,61.5,13,27.53
E,PTIR,mstr5_bo10_btc2,7147651,66.7,6,24.94
D,IREN,consec2_vol_btc,7147470,60.0,15,16.37
E,NVDL,bo5_vol_btc2_rsi,7146669,100.0,5,35.77
H,CONL,soxl_ret5_pos,7146471,35.7,14,17.03
E,NVDL,consec4_btc1,7145637,66.7,12,14.9
H,IREN,vix_spike_recover,7145315,60.7,28,12.77
F,IREN,gap_up3_vol_btc,7143585,65.2,23,10.36
E,PTIR,rsi7_80_btc2,7136467,77.8,9,26.46
H,IREN,qqq_strong_macd,7132826,55.6,18,19.83
H,CONL,triple_regime_strong,7132550,59.4,32,7.44
F,CONL,vcp_squeeze_bo,7131772,61.5,13,18.3
H,IREN,vix_low_btc2,7130741,61.1,18,19.83
H,CONL,btc2_qqq_strong,7129466,61.3,31,7.67
H,NVDL,soxl_bull_qqq,7128430,50.0,12,19.82
F,CONL,vcp_squeeze_bo,7127516,66.7,15,15.85
H,IREN,btc2_qqq_strong_vol,7127389,63.2,19,18.78
I,TQQQ,consec4_btc1,7126359,71.4,7,12.95
H,PTIR,soxl_ret5_pos,7121403,58.3,12,19.8
F,IREN,nr5_bo_btc1_rsi,7117925,71.4,7,33.93
E,CONL,btc_strong3d_bo10,7117744,50.0,8,22.27
F,IREN,hh_hl_btc2,7116719,72.4,29,8.19
H,IREN,qqq_ret10_btc2,7115471,100.0,4,89.03
F,PTIR,vcp_squeeze_bo,7115460,75.0,8,29.68
F,PTIR,vcp_squeeze_bo,7113372,87.5,8,29.67
D,PTIR,ret3_strong_btc,7110989,63.6,11,18.77
D,IREN,surge_follow_btc,7110528,58.1,31,11.48
H,IREN,coin_pct10_qqq,7110182,72.7,22,10.78
E,PTIR,rsi7_80_btc2,7109291,70.0,10,14.23
D,IREN,consec2_vol_btc,7106800,60.0,20,17.78
H,NVDL,btc2_qqq_bull_bo,7105048,75.0,8,29.63
H,CONL,vix_low_btc2,7104902,35.7,14,16.93
D,IREN,rsi7_hot_btc2,7104524,73.7,19,18.71
D,PTIR,rsi7_hot_btc2,7102768,66.7,9,21.55
E,CONL,btc_strong5d_rsi_accel,7099993,57.1,7,20.31
I,IREN,consec3_surge,7098560,68.0,25,14.21
H,CONL,coin_ret5_btc2,7095733,55.9,34,6.96
H,PTIR,coin_bull_btc2,7093696,73.3,15,15.78
H,CONL,coin_pct10_qqq,7092928,62.1,29,8.16
H,IREN,btc2_qqq_strong,7091657,61.5,13,27.3
I,CONL,btc2_qqq_strong_vol,7091541,50.0,18,13.15
D,IREN,consec3_btc2,7090977,68.8,16,22.18
E,IREN,consec3_btc2_vol,7090810,75.0,12,19.72
H,NVDL,coin_pct10_qqq,7088146,76.9,13,18.19
I,SOXL,bb_macd_adx_btc2,7087029,61.5,13,6.59
H,PTIR,qqq_strong_macd,7085595,72.2,18,13.13
E,NVDL,bb_macd_adx_btc2,7084461,41.2,17,13.91
F,IREN,gap_fill_up_btc2,7084026,76.5,17,20.86
H,PTIR,coin_ret5_btc2,7079853,70.6,17,13.9
F,IREN,bounce_btc1_rsi,7079385,58.3,24,9.84
I,CONL,vix_falling_btc2,7076952,41.7,24,9.84
E,PTIR,consec3_surge,7076094,41.7,12,9.42
H,NVDL,vix_low_btc2,7075599,70.0,10,23.61
G,PORTFOLIO,rs_rotation,7074980,65.9,44,8.05
H,PTIR,vix_falling_btc2,7074100,72.2,18,13.11
I,SOXL,triple_regime_all,7071786,69.2,13,6.61
E,CONL,rsi_accel_btc2_vol,7071325,45.5,11,16.09
E,IREN,max_conviction,7067539,44.4,9,14.05
E,NVDL,bo10_macd_btc2,7066689,36.4,11,10.92
E,CONL,btc_strong3d_surge,7063771,55.6,9,26.19
H,IREN,btc2_qqq_strong_vol,7063345,70.0,10,35.35
F,CONL,vcp_squeeze_bo,7059986,66.7,15,15.7
H,PTIR,qqq_strong_macd,7057367,66.7,12,19.62
E,IREN,mstr5_bo10_btc2,7056352,40.0,10,14.0
E,CONL,rsi_accel_btc3,7052165,33.3,6,14.12
H,PTIR,triple_surge,7050810,85.7,7,33.61
H,CONL,coin_rsi65_btc2,7050754,57.1,21,11.2
G,PORTFOLIO,rs_rotation,7048960,60.0,55,12.83
H,IREN,btc2_qqq_strong,7042757,58.3,12,29.37
H,CONL,coin_rsi65_btc2,7042351,58.3,24,9.79
D,IREN,surge_follow_btc,7037240,50.0,28,8.91
E,CONL,consec3_surge,7035111,25.0,20,2.51
F,IREN,hh_hl_btc2,7035094,58.3,24,9.78
F,NVDL,vcp_squeeze_bo,7026120,78.3,23,10.19
E,PTIR,consec4_btc1,7022536,50.0,6,21.79
D,IREN,btc_ret3_5pct,7022486,64.3,14,25.11
E,NVDL,mstr5_bo10_btc2,7021317,62.5,8,10.88
I,CONL,triple_regime_strong,7020844,47.6,21,4.29
H,PTIR,coin_rsi65_btc2,7020037,100.0,4,87.84
I,CONL,consec4_btc1,7017480,40.0,10,17.32
H,PTIR,coin_bull_btc2,7014040,76.9,13,18.0
E,PTIR,rsi7_80_btc2,7013478,62.5,8,11.79
E,PTIR,consec3_surge,7012073,55.0,20,7.02
D,IREN,btc_all_green,7010879,80.0,10,35.09
I,IREN,triple_regime_strong,7009256,54.5,22,15.95
F,PTIR,bounce_btc2,7006596,66.7,6,38.96
E,IREN,macd_adx_vol_btc2,7004707,83.3,6,29.22
E,PTIR,consec4_btc1,7002635,40.0,5,19.44
H,IREN,triple_regime_all,7001678,77.3,22,15.93
E,IREN,mstr_rsi_ret3_btc2,6999878,53.8,13,17.97
H,IREN,btc2_qqq_bull_bo,6996926,53.3,15,15.56
F,PTIR,hh_hl_ma_btc2,6996227,75.0,12,19.45
H,IREN,vix_falling_btc2,6996111,60.7,28,12.51
E,NVDL,bo5_vol_btc2_rsi,6995400,100.0,4,58.35
F,PTIR,ma10_pull_btc2,6995227,87.5,8,29.18
H,NVDL,btc_qqq_coin_surge,6994264,66.7,6,38.9
H,IREN,qqq_strong_macd,6993700,56.0,25,14.0
I,IREN,qqq_strong_macd,6993700,56.0,25,14.0
D,IREN,rsi_accel,6993611,56.5,23,15.22
H,IREN,btc2_qqq_strong_vol,6990930,61.5,13,26.92
H,CONL,soxl_ret5_pos,6990270,55.6,27,8.64
H,IREN,btc2_qqq_strong,6989568,69.6,23,10.14
F,IREN,bounce_btc2,6989201,68.4,19,18.41
E,NVDL,rsi_accel_btc2_vol,6989059,83.3,6,38.87
H,CONL,triple_surge,6988687,64.3,14,24.98
E,IREN,bo10_macd_btc2,6988474,53.3,15,15.55
H,PTIR,btc2_qqq_strong_vol,6982312,66.7,6,38.83
H,IREN,vix_fall_qqq_bull,6981479,62.2,37,9.44
I,CONL,rsi7_80_btc2,6981007,57.1,14,16.64
H,IREN,btc2_qqq_strong,6980177,61.1,18,19.41
H,PTIR,qqq_strong_consec,6979907,77.8,18,12.94
E,IREN,all_green_ultra,6979436,66.7,6,38.81
H,CONL,btc2_qqq_strong_vol,6979337,61.1,18,19.41
E,CONL,rsi7_80_btc2,6978411,38.5,13,7.03
H,PTIR,vix_mid_btc1_rsi,6978234,69.2,13,17.91
H,CONL,vix_falling_btc2,6977620,35.3,17,13.7
H,PTIR,btc2_qqq_bull_bo,6976936,85.7,7,33.26
F,IREN,gap_fill_up_btc2,6975745,75.0,16,14.55
E,PTIR,di_cross_surge_btc2,6974224,72.7,11,21.16
D,CONL,pullback_btc2,6970290,57.9,19,18.36
F,PTIR,gap_up_btc2,6968812,78.6,14,16.61
E,IREN,triple_confirm,6967102,80.0,5,34.87
H,PTIR,btc2_qqq_strong,6965358,62.5,8,29.05
D,CONL,rsi14_65_btc2,6965337,46.2,13,10.21
E,IREN,mstr_rsi_ret3_btc2,6958883,50.0,10,23.9
E,IREN,bo10_macd_btc2,6958370,42.9,14,16.58
E,PTIR,bb_macd_adx_btc2,6957805,62.5,8,29.02
H,IREN,coin_pct10_qqq,6957574,63.2,19,12.22
I,TSLL,triple_regime_all,6957143,33.3,9,8.6
F,IREN,hh_hl_btc2,6956183,64.7,17,20.48
E,NVDL,mstr5_bo10_btc2,6952863,75.0,8,21.75
H,CONL,btc1_qqq_bull_rsi,6951536,55.6,36,6.44
I,SOXL,consec3_surge,6948653,56.2,16,4.71
E,CONL,mstr_over5_ret3_btc,6948181,26.7,15,4.1
F,IREN,gap_up3_btc1,6946312,59.3,27,12.88
F,IREN,hh_hl_btc2,6946127,60.9,23,10.08
F,CONL,bounce_btc2,6945452,52.6,19,18.3
F,PTIR,gap_up_btc2,6943759,72.7,11,21.06
H,IREN,qqq_strong_macd,6941922,61.5,26,13.36
H,IREN,soxl_bull_qqq,6940082,58.3,12,28.95
E,IREN,mstr5_bo10_btc2,6938051,50.0,10,17.96
D,IREN,ret3_strong_btc,6936930,56.0,25,13.89
H,IREN,vix_low_qqq_surge,6936507,60.0,10,23.14
D,IREN,consec3_btc2,6936048,68.8,16,17.12
H,IREN,vix_mid_btc1_rsi,6935088,70.0,30,11.57
E,IREN,max_conviction,6934443,70.0,10,23.14
F,IREN,gap_fill_up_btc2,6930219,66.7,15,15.42
H,CONL,coin_bull_btc2,6926900,53.1,32,7.22
H,IREN,vix_falling_btc2,6925879,57.7,26,13.33
H,IREN,coin_pct10_qqq,6921223,71.4,14,24.74
H,PTIR,coin_ret5_btc2,6918875,62.5,8,43.29
F,IREN,gap_up_btc2,6918235,57.7,26,8.88
H,IREN,vix_fall_qqq_bull,6917037,56.5,23,15.05
H,CONL,btc2_qqq_strong_vol,6913798,60.0,15,23.07
F,CONL,bounce_btc1_rsi,6913496,41.2,17,13.57
F,IREN,hh_hl_ma_btc2,6913293,68.4,19,18.21
H,IREN,triple_surge,6908965,69.2,13,26.6
I,CONL,vix_falling_btc2,6908846,38.1,21,1.06
H,PTIR,vix_falling_btc2,6906006,62.5,8,43.21
F,CONL,bounce_btc2,6899813,47.6,21,10.96
H,CONL,btc2_qqq_strong,6898411,53.8,26,8.85
F,IREN,ma20_pull_btc2,6897610,63.6,11,20.92
D,IREN,bo5_btc2,6895801,64.7,17,20.3
H,CONL,vix_mid_btc1_rsi,6895738,58.3,24,9.59
E,NVDL,rsi_accel_btc2_vol,6893762,57.1,7,15.74
E,NVDL,rsi_accel_btc2_vol,6893762,57.1,7,15.74
H,CONL,qqq_strong_macd,6888894,63.6,44,7.84
E,NVDL,consec3_surge,6887319,52.9,17,8.11
H,CONL,coin_ret5_btc2,6884204,44.0,25,9.19
F,IREN,engulf_btc2,6883260,60.0,10,22.97
F,IREN,ma20_pull_btc2,6880261,63.6,11,20.87
H,NVDL,coin_pct10_qqq,6880053,80.0,15,15.3
H,PTIR,vix_falling_btc2,6879979,70.0,20,11.48
H,CONL,coin_rsi65_btc2,6879092,64.3,28,8.2
D,CONL,ret3_strong_btc,6877707,50.0,22,15.65
H,CONL,qqq_strong_consec,6873444,58.3,36,6.37
H,PTIR,vix_falling_btc2,6873000,61.5,13,17.64
H,PTIR,btc1_qqq_bull_rsi,6872625,70.6,17,13.49
H,CONL,triple_regime_all,6871893,47.4,19,12.07
H,CONL,btc_qqq_coin_all,6871893,47.4,19,12.07
I,IREN,qqq_strong_macd,6870859,60.0,20,17.19
H,IREN,qqq_strong_macd,6870859,60.0,20,17.19
F,CONL,gap_up3_vol_btc,6868945,47.1,17,13.48
F,IREN,ma20_pull_btc2,6868360,72.7,11,20.83
H,CONL,vix_low_btc2,6867609,57.6,33,6.94
F,IREN,hh_hl_btc2,6866287,68.4,19,18.09
H,PTIR,btc2_qqq_strong,6865953,73.3,15,15.27
F,IREN,vcp_breakout_btc1,6864738,60.0,15,15.27
I,CONL,consec4_btc1,6863167,50.0,10,16.27
F,CONL,gap_hh_hl_btc2,6862486,47.4,19,12.05
E,PTIR,bo10_macd_btc2,6860795,66.7,6,38.15
F,IREN,ma10_pull_vol,6859313,80.0,10,22.89
H,IREN,qqq_ret10_btc2,6857274,100.0,4,57.2
H,CONL,vix_mid_btc1_rsi,6854744,56.2,16,21.44
H,PTIR,vix_fall_qqq_bull,6851386,71.4,21,10.89
H,IREN,vix_spike_recover,6848263,46.7,15,22.85
H,PTIR,qqq_strong_macd,6846936,72.7,11,20.77
H,CONL,qqq_strong_macd,6842340,50.0,18,19.03
H,IREN,vix_fall_qqq_bull,6842153,65.5,29,11.81
I,TQQQ,vix_falling_btc2,6841790,62.5,8,9.77
H,IREN,coin_ret5_btc2,6841149,65.4,26,13.17
F,IREN,gap_hh_hl_btc2,6840938,75.0,16,21.4
E,AMDL,bb_macd_adx_btc2,6840139,36.4,11,-0.23
E,CONL,btc_strong3d_surge,6839414,62.5,8,28.53
E,NVDL,mstr5_bo10_btc2,6839314,40.0,10,13.05
H,IREN,triple_regime_strong,6837097,58.6,29,7.87
E,CONL,btc_regime3_surge,6832132,42.9,7,13.41
E,IREN,mstr_rsi65_ma_btc2,6831379,83.3,6,22.79
F,CONL,hh_hl_ma_btc2,6830616,54.8,31,7.35
I,CONL,bb_macd_adx_btc2,6829983,56.2,16,21.37
H,CONL,vix_mid_btc1_rsi,6826529,57.1,21,16.27
H,IREN,coin_bull_btc2,6824590,73.1,26,8.76
E,NVDL,bo5_vol_btc2_rsi,6823670,100.0,5,34.15
F,IREN,hh_hl_ma_btc2,6821868,58.3,24,9.48
E,NVDL,consec4_btc1,6817547,70.0,10,17.06
F,PTIR,gap_fill_up_btc2,6816648,55.6,9,25.27
H,NVDL,qqq_strong_consec,6816556,61.5,13,17.5
H,IREN,vix_spike_recover,6813824,62.5,32,10.66
F,CONL,bounce_btc2,6813397,58.8,17,20.06
H,CONL,coin_bull_btc2,6811463,51.9,27,8.42
H,NVDL,btc1_qqq_bull_rsi,6808461,50.0,12,18.93
H,CONL,triple_regime_all,6803103,47.4,19,11.95
H,CONL,btc_qqq_coin_all,6803103,47.4,19,11.95
H,IREN,soxl_ret5_pos,6801559,61.9,42,5.4
H,CONL,btc1_qqq_bull_rsi,6801302,47.8,23,9.87
F,NVDL,hh_hl_btc2,6800770,50.0,18,12.61
E,NVDL,di_cross_surge_btc2,6799512,50.0,14,12.15
E,CONL,bo5_vol_btc2_rsi,6795343,55.6,9,25.19
H,CONL,qqq_strong_consec,6794993,50.0,26,8.72
F,IREN,vcp_breakout_btc1,6794273,57.1,14,16.19
F,PTIR,bounce_btc1_rsi,6793142,75.0,8,28.33
E,AMDL,consec3_btc2_vol,6792729,40.0,5,21.18
H,CONL,qqq_strong_consec,6791440,46.2,26,8.72
H,IREN,btc2_qqq_bull_bo,6790122,63.6,11,30.9
H,NVDL,btc2_qqq_strong_vol,6790003,66.7,6,37.76
F,CONL,hh_hl_ma_btc2,6785938,60.0,30,7.55
F,IREN,vcp_breakout_btc1,6785914,61.5,13,17.42
H,IREN,soxl_bull_qqq,6783911,55.0,20,16.98
D,IREN,rsi_accel,6781984,62.5,16,21.21
F,IREN,gap_up_btc2,6781511,59.1,22,15.43
H,IREN,triple_regime_all,6781436,69.6,23,14.76
H,IREN,triple_surge,6773219,71.4,14,16.14
D,CONL,ma_align5_btc2,6770187,45.5,22,6.28
H,IREN,soxl_rsi60_qqq,6767854,54.5,22,15.4
H,IREN,btc2_qqq_strong_vol,6767104,64.3,14,24.19
D,PTIR,surge_follow_btc,6763740,73.3,15,15.25
H,IREN,triple_regime_strong,6762536,54.5,22,15.38
H,NVDL,soxl_ret5_pos,6761774,57.1,14,16.12
H,IREN,vix_falling_btc2,6761044,59.4,32,10.57
E,AMDL,bb_macd_adx_btc2,6760989,38.5,13,2.22
H,PTIR,qqq_strong_consec,6760500,60.0,10,22.56
E,IREN,mstr_rsi_ret3_btc2,6759588,64.3,14,16.11
E,IREN,btc_strong3d_surge,6757128,66.7,6,28.18
I,CONL,btc2_qqq_strong_vol,6756191,40.0,15,7.1
H,IREN,btc_qqq_coin_all,6754362,58.3,12,28.17
E,IREN,macd_adx_vol_btc2,6753654,83.3,6,37.56
D,IREN,rsi_accel,6753338,53.3,15,14.44
E,CONL,rsi_accel_btc3,6752072,33.3,6,14.97
H,IREN,coin_ret5_btc2,6749087,64.0,25,13.51
H,PTIR,vix_falling_btc2,6748801,63.2,19,11.85
F,PTIR,hh_hl_btc2,6747393,75.0,16,14.07
E,CONL,consec3_surge,6746365,36.8,19,11.85
D,IREN,ma_align5_btc2,6746085,76.9,13,25.97
F,IREN,gap_up_btc2,6744397,61.9,21,16.07
I,IREN,triple_regime_strong,6743650,58.8,17,13.24
E,NVDL,mstr_over5_ret3_btc,6742753,66.7,9,25.0
F,PTIR,vcp_squeeze_bo,6738436,92.3,13,17.3
E,NVDL,rsi_accel_btc2_vol,6733839,40.0,10,9.63
H,IREN,coin_rsi65_btc2,6732901,63.6,11,20.42
F,PTIR,hh_hl_rsi_btc,6732002,58.3,12,18.72
H,CONL,soxl_bull_qqq,6727592,35.7,14,16.03
H,IREN,btc2_qqq_strong,6726776,68.2,22,15.3
H,PTIR,triple_surge,6726024,80.0,5,44.89
H,CONL,vix_low_btc2,6725718,52.0,25,8.98
H,IREN,btc2_qqq_strong_vol,6725440,70.4,27,8.31
H,CONL,triple_regime_strong,6723700,55.0,20,16.83
E,CONL,bo5_vol_btc2_rsi,6723399,45.5,11,14.94
F,PTIR,bounce_btc1_rsi,6723199,75.0,8,28.04
H,NVDL,coin_ret5_btc2,6723106,66.7,15,14.96
E,IREN,bo5_vol_btc2_rsi,6721352,60.0,10,22.43
H,NVDL,coin_bull_btc2,6719701,64.7,17,13.19
E,PTIR,max_conviction,6716622,100.0,3,44.82
H,CONL,btc1_qqq_bull_rsi,6711948,57.1,42,5.33
G,PORTFOLIO,rs_rotation,6711316,44.3,61,11.01
F,IREN,bounce_btc2,6711229,61.9,21,10.66
F,IREN,bounce_btc2,6709345,78.9,19,17.67
E,PTIR,bo10_macd_btc2,6703201,57.1,7,19.15
F,CONL,hh_hl_rsi_btc,6702971,50.0,28,7.99
E,IREN,btc_regime3_all,6700755,50.0,4,28.27
F,IREN,vcp_squeeze_bo,6698338,68.4,19,17.64
H,NVDL,triple_surge,6697044,70.0,10,22.35
F,PTIR,doji_escape_btc2,6695392,100.0,4,55.85
F,PTIR,doji_escape_btc2,6695392,100.0,4,55.85
E,NVDL,consec3_btc2_vol,6692640,66.7,3,39.37
H,IREN,qqq_strong_consec,6692032,60.0,20,16.75
I,IREN,triple_regime_strong,6691224,62.5,24,13.95
H,PTIR,btc_qqq_coin_surge,6685345,75.0,4,55.77
H,IREN,qqq_strong_macd,6685019,61.9,21,15.93
H,CONL,soxl_ret5_pos,6683720,53.3,30,7.43
I,CONL,triple_regime_strong,6677421,42.9,21,10.61
F,PTIR,ma10_pull_btc2,6675234,85.7,7,47.73
H,PTIR,triple_surge,6673048,75.0,8,27.83
I,TSLL,bb_macd_adx_btc2,6672915,53.3,15,4.76
E,IREN,all_green_ultra,6672757,85.7,7,23.86
H,IREN,vix_falling_btc2,6672680,47.4,19,17.58
H,PTIR,vix_fall_qqq_bull,6671486,68.8,16,13.91
G,PORTFOLIO,rs_rotation,6670839,46.9,49,13.63
H,IREN,triple_regime_strong,6668671,61.1,18,12.36
H,PTIR,qqq_strong_consec,6666441,71.4,14,15.89
I,TQQQ,rsi7_80_btc2,6662885,71.4,7,12.2
E,PTIR,rsi7_80_btc2,6662473,66.7,9,24.7
H,PTIR,vix_mid_btc1_rsi,6661947,66.7,9,24.7
H,IREN,btc2_qqq_bull_bo,6661612,61.5,13,17.1
F,PTIR,gap_fill_up_btc2,6661560,83.3,12,18.52
D,NVDL,bo5_btc2,6659392,72.7,11,17.44
E,IREN,macd_adx_vol_btc2,6659052,60.0,5,38.3
D,IREN,ret3_strong_btc,6658867,56.5,23,12.43
D,PTIR,ret5_surge_btc,6658175,66.7,9,21.09
F,IREN,gap_hh_hl_btc2,6657466,56.2,16,13.88
E,CONL,di_cross_surge_btc2,6657101,44.4,18,12.34
E,NVDL,consec3_surge,6655661,57.1,14,11.9
E,NVDL,consec3_surge,6654757,35.7,14,2.52
E,NVDL,rsi_accel_btc2_vol,6654512,57.1,7,18.16
H,IREN,soxl_rsi60_qqq,6650646,62.2,37,9.0
H,PTIR,qqq_strong_macd,6650628,66.7,9,24.66
H,IREN,btc2_qqq_strong_vol,6650493,61.1,18,12.33
F,IREN,nr5_bo_btc2,6650045,85.7,7,47.55
F,IREN,gap_up3_vol_btc,6648974,57.1,14,15.85
H,PTIR,qqq_strong_consec,6647616,60.0,10,22.18
D,IREN,rsi_accel,6645027,68.0,25,13.3
E,CONL,consec3_btc2_vol,6644973,62.5,8,28.21
H,IREN,soxl_ret5_pos,6642544,63.6,33,10.07
H,IREN,vix_spike_recover,6642463,54.1,37,5.99
H,PTIR,triple_surge,6639110,90.9,11,20.14
H,CONL,vix_mid_btc1_rsi,6638656,54.8,31,7.15
E,NVDL,rsi7_80_btc2,6638560,30.8,13,5.25
I,IREN,consec4_btc1,6637553,61.5,13,17.04
E,IREN,consec4_btc1,6637553,61.5,13,17.04
