strategy,rebal_days,top_n,target,stop,unit_mul,btc_bull,n,pnl,wr,avg
sector_rotation,0,1,25,-20,1.5,True,103,13345492,60.2,8.65
rs_rotation,10,2,50,-25,2.0,False,49,13341677,46.9,13.63
rs_rotation,3,1,40,-20,2.0,True,56,13118974,53.6,11.73
rs_rotation,5,1,25,-20,3.0,False,60,13086701,58.3,7.28
conviction_sizing,30,0,25,-20,dynamic,True,187,13065052,50.3,5.04
rs_rotation,7,1,20,-15,3.0,False,60,13055265,60.0,7.26
rs_rotation,3,2,20,-15,2.0,False,137,13023620,54.7,4.76
rs_rotation,7,1,40,-20,3.0,True,34,12990991,58.8,12.75
rs_rotation,5,1,30,-20,3.0,True,52,12934839,59.6,8.3
rs_rotation,10,1,50,-25,3.0,True,30,12779713,46.7,14.21
rs_rotation,5,2,20,-15,3.0,False,106,12699827,52.8,4.0
rs_rotation,7,2,40,-20,2.0,False,69,12695114,47.8,9.21
sector_rotation,0,1,50,-25,1.5,True,78,12665545,55.1,10.84
rs_rotation,5,1,50,-25,2.0,True,44,12467742,56.8,14.18
rs_rotation,10,2,30,-20,3.0,True,53,12443622,50.9,7.83
rs_rotation,5,2,20,-15,2.0,True,85,12439168,63.5,7.32
rs_rotation,7,1,30,-20,3.0,True,38,12425706,63.2,10.91
rs_rotation,3,1,30,-20,2.0,False,72,12317178,55.6,8.56
rs_rotation,7,1,30,-20,3.0,False,46,12316006,54.3,8.93
sector_rotation,0,1,20,-15,1.5,True,127,12279251,57.5,6.45
rs_rotation,5,2,25,-20,2.0,True,78,12279023,64.1,7.88
rs_rotation,7,2,25,-20,2.0,False,85,12138912,57.6,7.15
rs_rotation,7,2,25,-20,2.0,True,65,12093667,63.1,9.31
rs_rotation,5,1,40,-20,3.0,False,53,11999633,45.3,7.55
rs_rotation,3,1,25,-20,2.0,False,77,11853959,58.4,7.71
rs_rotation,10,2,25,-20,3.0,True,54,11850250,55.6,7.32
rs_rotation,7,2,40,-20,2.0,True,59,11763525,57.6,9.98
rs_rotation,7,2,30,-20,2.0,False,78,11758676,53.8,7.55
rs_rotation,10,2,20,-15,3.0,True,57,11643042,56.1,6.82
rs_rotation,5,1,40,-20,2.0,True,48,11507569,58.3,12.0
rs_rotation,10,1,40,-20,3.0,True,31,11454243,48.4,12.33
rs_rotation,7,1,25,-20,2.0,False,52,11408746,63.5,10.98
rs_rotation,3,2,50,-25,1.0,True,75,11396559,60.0,15.21
rs_rotation,3,1,30,-20,2.0,True,64,11391598,56.2,8.91
rs_rotation,7,1,50,-25,2.0,True,32,11351201,59.4,17.75
rs_rotation,5,2,30,-20,2.0,True,74,11225564,59.5,7.59
conviction_sizing,20,0,20,-15,dynamic,True,243,11190925,49.8,3.2
rs_rotation,7,2,20,-15,2.0,True,74,11054706,63.5,7.48
rs_rotation,7,2,30,-20,2.0,True,62,11046006,59.7,8.92
rs_rotation,5,2,40,-20,3.0,False,72,10957537,41.7,5.08
rs_rotation,3,1,25,-20,2.0,True,66,10940864,59.1,8.3
rs_rotation,5,1,20,-15,3.0,False,68,10868910,55.9,5.33
rs_rotation,10,2,50,-25,2.0,True,47,10751640,48.9,11.45
rs_rotation,7,1,20,-15,3.0,True,44,10612470,65.9,8.05
rs_rotation,10,1,50,-25,2.0,False,35,10591764,48.6,15.15
rs_rotation,7,2,20,-15,2.0,False,102,10419400,55.9,5.11
rs_rotation,5,2,25,-20,2.0,False,89,10142061,56.2,5.7
rs_rotation,3,2,50,-25,1.0,False,67,10079608,49.3,15.06
rs_rotation,7,1,25,-20,2.0,True,40,10002104,70.0,12.52
rs_rotation,3,1,20,-15,2.0,True,74,9961123,59.5,6.74
rs_rotation,3,2,40,-20,1.0,True,82,9877967,59.8,12.06
rs_rotation,10,2,40,-20,2.0,True,51,9857172,49.0,9.67
rs_rotation,5,1,25,-20,2.0,True,54,9730438,64.8,9.02
rs_rotation,7,1,40,-20,2.0,False,42,9590120,50.0,11.43
rs_rotation,3,1,20,-15,2.0,False,93,9550085,54.8,5.14
rs_rotation,10,2,40,-20,3.0,False,57,9524317,42.1,5.58
rs_rotation,10,1,30,-20,3.0,True,33,9520833,51.5,9.63
rs_rotation,5,1,50,-25,2.0,False,47,9349527,44.7,9.96
sector_rotation,0,1,30,-20,1.0,True,96,9319991,57.3,9.72
sector_rotation,0,1,40,-20,1.0,True,88,9166285,54.5,10.43
rs_rotation,5,1,20,-15,2.0,True,57,9065180,64.9,7.96
sector_rotation,0,1,60,-25,1.0,True,76,9032030,53.9,11.9
sector_rotation,0,1,25,-20,1.0,True,103,8896995,60.2,8.65
rs_rotation,5,2,30,-20,3.0,False,80,8825756,47.5,3.68
rs_rotation,5,1,25,-20,2.0,False,60,8724467,58.3,7.28
rs_rotation,7,1,20,-15,2.0,False,60,8703510,60.0,7.26
rs_rotation,10,2,30,-20,3.0,False,63,8694415,47.6,4.6
rs_rotation,7,1,40,-20,2.0,True,34,8660661,58.8,12.75
rs_rotation,5,1,30,-20,2.0,True,52,8623226,59.6,8.3
rs_rotation,10,1,50,-25,2.0,True,30,8519809,46.7,14.21
rs_rotation,5,2,20,-15,2.0,False,106,8466552,52.8,4.0
sector_rotation,0,1,50,-25,1.0,True,78,8443696,55.1,10.84
rs_rotation,10,1,25,-20,3.0,True,33,8431522,57.6,8.53
rs_rotation,3,2,25,-20,1.0,True,100,8402620,62.0,8.41
rs_rotation,3,2,40,-20,1.0,False,86,8392067,48.8,9.77
