ticker,strategy,target,stop,hold,unit_mul,max_pyr,trail,btc_exit,n,pnl,wr,avg,avg_layers
IREN,consec4_btc1,60,-25,60,2.0,5,,False,9,18337303,66.7,37.25,2.67
PTIR,di_cross_surge_btc2,100,-30,180,2.0,5,,True,7,18253361,57.1,34.75,2.86
IREN,rsi_accel_btc2_vol,80,-25,90,2.0,5,,False,9,18219303,66.7,40.75,2.78
PTIR,di_cross_surge_btc2,50,-20,45,3.0,3,,False,8,18187346,75.0,27.89,2.38
IREN,bb_macd_adx_btc2,80,-25,120,2.0,5,,True,14,18176920,64.3,17.38,3.21
PTIR,bb_macd_adx_btc2,80,-25,90,3.0,3,,False,6,17980903,66.7,36.1,2.17
CONL,mstr5_bo10_btc2,80,-25,90,3.0,3,,False,10,17949137,40.0,21.82,1.9
IREN,consec3_surge,80,-25,120,2.0,5,,True,24,17891493,54.2,9.47,2.04
IREN,consec3_btc2_vol,80,-25,90,2.0,5,,False,8,17877291,75.0,48.24,2.5
CONL,max_conviction,80,-25,90,2.0,5,,False,8,17844383,50.0,37.95,2.38
PTIR,mstr_over5_ret3_btc,50,-20,45,3.0,3,,False,8,17806854,75.0,41.33,1.62
PTIR,mstr_over5_ret3_btc,100,-30,120,2.0,5,,False,5,17536797,60.0,52.82,2.8
CONL,rsi_accel_btc2_vol,100,-30,120,2.0,5,,False,9,17494235,44.4,32.93,2.0
IREN,bb_macd_adx_btc2,60,-25,60,2.0,5,,False,12,17475880,50.0,16.26,3.17
IREN,consec3_btc2_vol,60,-25,60,4.0,1,,False,9,17440496,77.8,48.49,1.0
PTIR,di_cross_surge_btc2,100,-30,120,2.0,5,,False,6,17439080,50.0,42.3,2.67
CONL,rsi7_80_btc2,100,-30,180,2.0,3,,True,12,17361247,33.3,24.73,2.08
IREN,di_cross_surge_btc2,80,-25,120,2.0,5,,True,12,17352236,66.7,22.07,3.25
CONL,bo10_macd_btc2,80,-25,90,3.0,3,,False,10,17342808,40.0,21.77,2.0
IREN,di_cross_surge_btc2,40,-20,30,4.0,1,,False,19,17331672,68.4,22.83,1.0
PTIR,mstr_over5_ret3_btc,100,-30,180,2.0,5,,True,5,17284518,60.0,58.22,2.8
CONL,bb_macd_adx_btc2,100,-30,120,2.0,5,,False,13,17284161,30.8,12.95,3.08
CONL,bb_macd_adx_btc2,50,-25,45,5.0,1,,False,18,17228222,55.6,19.16,1.0
IREN,bb_macd_adx_btc2,40,-20,30,4.0,1,,False,21,17155315,71.4,20.44,1.0
IREN,rsi7_80_btc2,60,-25,60,3.0,3,,False,9,17147267,66.7,27.41,2.44
CONL,bo5_vol_btc2_rsi,100,-30,120,2.0,5,,False,6,17067120,66.7,61.77,2.33
IREN,rsi_accel_btc2_vol,60,-25,60,4.0,1,,False,11,17023270,72.7,38.73,1.0
CONL,bb_macd_adx_btc2,100,-30,180,2.0,3,,True,17,16968397,29.4,16.99,2.24
IREN,di_cross_surge_btc2,30,-15,20,5.0,1,,False,20,16967428,75.0,16.98,1.0
IREN,consec3_btc2_vol,100,-30,120,2.0,5,,False,6,16931847,83.3,51.74,3.0
CONL,consec3_surge,100,-30,120,2.0,5,,False,12,16902598,33.3,15.34,2.42
CONL,mstr5_bo10_btc2,100,-30,180,2.0,3,,True,11,16801527,36.4,27.88,2.0
CONL,bo10_macd_btc2,100,-30,180,2.0,3,,True,12,16784882,33.3,25.21,1.92
IREN,bb_macd_adx_btc2,80,-25,90,2.0,3,-15.0,False,18,16755835,38.9,15.94,2.17
CONL,di_cross_surge_btc2,80,-25,90,2.0,5,,False,14,16711079,28.6,9.25,2.64
IREN,di_cross_surge_btc2,80,-25,90,2.0,3,-15.0,False,16,16691033,37.5,19.27,2.19
CONL,di_cross_surge_btc2,100,-30,180,2.0,3,,True,18,16604870,22.2,13.2,2.0
PTIR,consec3_surge,80,-25,120,2.0,5,,True,16,16599909,62.5,14.29,1.94
IREN,rsi_accel_btc2_vol,100,-30,120,2.0,5,,False,7,16582882,71.4,39.44,3.14
IREN,consec4_btc1,50,-25,45,5.0,1,,False,10,16521406,70.0,33.08,1.0
IREN,consec3_surge,30,-15,20,5.0,1,,False,27,16483805,66.7,12.22,1.0
CONL,mstr_rsi_ret3_btc2,100,-30,180,2.0,5,,True,11,16382944,45.5,25.43,1.73
IREN,consec3_surge,60,-25,60,2.0,5,,False,12,16345338,58.3,19.99,3.17
IREN,all_green_ultra,60,-25,60,3.0,3,,False,7,16246033,85.7,46.55,1.71
IREN,bb_macd_adx_btc2,50,-25,45,4.0,1,,False,17,16244993,70.6,23.91,1.0
NVDL,mstr_over5_ret3_btc,100,-30,120,2.0,5,,False,7,16242027,71.4,37.21,2.57
CONL,bb_macd_adx_btc2,80,-25,90,3.0,3,,False,13,16040269,30.8,11.75,2.38
CONL,consec3_surge,80,-25,90,3.0,3,,False,12,16032162,33.3,14.91,2.25
NVDL,di_cross_surge_btc2,80,-25,120,2.0,5,,True,15,15999426,46.7,13.72,2.33
