ticker,strategy,pos_mode,target,stop,hold,n,pnl,wr,avg
IREN,btc_regime2_only,fixed,20,-20,30,29,2802230,69.0,9.67
CONL,btc_regime2_rsi,fixed,30,-20,45,27,2802100,51.9,10.39
CONL,btc_rsi_high_regime,fixed,15,-15,20,40,2794077,60.0,6.99
CONL,btc_momentum_entry,fixed,25,-20,30,25,2778311,56.0,11.12
CONL,btc_regime2_only,fixed,25,-20,30,28,2770116,53.6,9.9
PTIR,not_friday_bull,fixed,25,-15,20,21,2753975,71.4,13.13
CONL,variable_size_regime,fixed,25,-20,30,30,2745922,53.3,9.16
PTIR,not_friday_bull,fixed,20,-15,20,22,2744030,72.7,12.49
PTIR,btc_rsi_high_regime,fixed,15,-20,30,18,2739202,88.9,15.23
PTIR,variable_size_regime,fixed,25,-15,20,21,2729250,71.4,13.01
CONL,btc_rsi_high_regime,fixed,30,-20,45,27,2726053,51.9,10.11
IREN,btc_regime2_rsi,fixed,25,-15,20,25,2725642,72.0,10.91
NVDL,variable_size_regime_var,variable,30,-20,45,21,2722810,57.1,7.05
IREN,mon_tue_bull,fixed,25,-15,20,25,2715662,64.0,10.87
PTIR,btc_rsi_high_regime,fixed,25,-20,30,13,2709395,76.9,20.86
IREN,mon_tue_bull,fixed,15,-15,20,31,2702915,67.7,8.73
IREN,btc_momentum_entry,fixed,30,-20,45,24,2698419,58.3,11.25
IREN,dual_btc_qqq_pct,fixed,25,-20,30,11,2693932,100.0,24.51
IREN,dual_btc_qqq,fixed,25,-20,30,11,2693932,100.0,24.51
CONL,btc_regime1plus,fixed,15,-20,30,48,2693541,64.6,5.62
CONL,variable_size_regime,fixed,20,-20,30,36,2685180,61.1,7.47
PTIR,btc_rsi_high_regime,fixed,20,-15,20,16,2666340,81.2,16.68
PTIR,mon_tue_bull,fixed,15,-20,30,21,2659612,76.2,12.68
CONL,variable_size_regime,fixed,30,-20,45,27,2654712,51.9,9.84
IREN,mon_tue_bull,fixed,25,-20,30,23,2650388,69.6,11.53
PTIR,btc_regime2_rsi,fixed,15,-20,30,20,2649517,80.0,13.26
CONL,not_friday_bull,fixed,20,-15,20,44,2636627,54.5,6.0
IREN,low_vol_bull,fixed,25,-15,20,23,2626058,65.2,11.43
CONL,btc_regime2_only,fixed,20,-15,20,40,2625003,57.5,6.57
NVDL,variable_size_regime_var,variable,20,-20,30,27,2624061,70.4,5.39
PTIR,variable_size_regime,fixed,20,-15,20,22,2620523,72.7,11.92
CONL,btc_regime2_rsi,fixed,20,-15,20,37,2608600,56.8,7.06
IREN,not_friday_bull,fixed,20,-20,30,33,2603200,63.6,7.9
IREN,low_vol_bull,fixed,15,-15,20,30,2590617,70.0,8.64
IREN,variable_size_regime,fixed,15,-20,30,40,2587172,70.0,6.47
CONL,btc_rsi_high_regime,fixed,15,-20,30,38,2573782,65.8,6.78
IREN,btc_rsi_high_regime,fixed,15,-15,20,35,2570466,68.6,7.35
PTIR,btc_rsi_high_regime,fixed,25,-15,20,14,2570434,78.6,18.38
PTIR,variable_size_regime,fixed,15,-15,20,28,2567838,75.0,9.18
