period,ticker,strategy,n,pnl,wr,avg,p_target_pct,p_stop_pct,p_hold_days,p_trailing_pct,p_unit_mul,p_max_pyramid,p_pyramid_add_pct,p_btc_rsi_max,p_vix_min,p_vix_max,p_pct_ma20_min,p_vol_ratio_min,p_rsi14_min,p_macd_threshold,p_surge_pct
train,IREN,macd_vol,9,13749705,88.9,24.11,36.2788434667462,-13.955861450296679,51,-12.0,2.920722339007956,3,7.67957744039728,69.6725957648435,12.137246521969955,32.26398622993997,-7.230767068969646,1.432393736867624,68.77642550496947,-0.02385471954413307,-0.19333181318558595
train,CONL,macd_vol,4,4054934,75.0,18.39,36.2788434667462,-13.955861450296679,51,-12.0,2.920722339007956,3,7.67957744039728,69.6725957648435,12.137246521969955,32.26398622993997,-7.230767068969646,1.432393736867624,68.77642550496947,-0.02385471954413307,-0.19333181318558595
train,PTIR,macd_vol,6,4665462,83.3,20.3,36.2788434667462,-13.955861450296679,51,-12.0,2.920722339007956,3,7.67957744039728,69.6725957648435,12.137246521969955,32.26398622993997,-7.230767068969646,1.432393736867624,68.77642550496947,-0.02385471954413307,-0.19333181318558595
oos,IREN,macd_vol,1,-205891,0.0,-7.06,36.2788434667462,-13.955861450296679,51,-12.0,2.920722339007956,3,7.67957744039728,69.6725957648435,12.137246521969955,32.26398622993997,-7.230767068969646,1.432393736867624,68.77642550496947,-0.02385471954413307,-0.19333181318558595
oos,CONL,macd_vol,0,0,0.0,0.0,36.2788434667462,-13.955861450296679,51,-12.0,2.920722339007956,3,7.67957744039728,69.6725957648435,12.137246521969955,32.26398622993997,-7.230767068969646,1.432393736867624,68.77642550496947,-0.02385471954413307,-0.19333181318558595
oos,PTIR,macd_vol,0,0,0.0,0.0,36.2788434667462,-13.955861450296679,51,-12.0,2.920722339007956,3,7.67957744039728,69.6725957648435,12.137246521969955,32.26398622993997,-7.230767068969646,1.432393736867624,68.77642550496947,-0.02385471954413307,-0.19333181318558595
