ticker,strategy,target,stop,hold,n,pnl,wr,avg
PTIR,breakout10_bull,30,-20,45,9,2851617,88.9,31.72
IREN,mom20_rsi,30,-20,45,23,2840806,60.9,12.36
NVDL,macd_hist_grow,15,-20,30,29,2833567,82.8,9.78
IREN,vol_surge_up,20,-20,30,24,2816990,70.8,11.75
PTIR,bb_high_pct,25,-20,30,15,2813385,80.0,18.77
IREN,vol_surge_up,25,-20,30,22,2810574,68.2,12.79
CONL,bb_high_pct,25,-15,20,35,2806896,54.3,8.03
IREN,adx_di_cross,15,-10,20,42,2795223,59.5,6.66
PTIR,mom20_rsi,30,-20,45,14,2790925,78.6,19.96
IREN,bb_high_pct_vol,12,-10,15,36,2787611,72.2,7.75
IREN,dual_mom_rsi,20,-20,30,25,2786686,72.0,11.16
CONL,bb_macd_vol,25,-20,30,29,2782691,55.2,9.61
CONL,vol_surge_rsi,30,-20,45,19,2763866,57.9,14.56
CONL,macd_positive_rsi,30,-20,45,26,2755667,53.8,10.61
PTIR,dual_mom_rsi,20,-20,30,15,2754351,80.0,18.38
IREN,bb_high_pct_vol,20,-20,30,25,2733662,72.0,10.95
PTIR,breakout10_rsi,30,-20,45,9,2728148,88.9,30.34
PTIR,adx_di_cross,25,-15,20,18,2725651,77.8,15.16
PTIR,bb_high_pct,20,-15,20,19,2725514,78.9,14.36
CONL,macd_positive_rsi,20,-20,30,34,2720865,61.8,8.01
IREN,mom20_rsi,12,-10,15,45,2712440,64.4,6.03
IREN,bb_macd_vol,12,-10,15,42,2705123,69.0,6.45
CONL,breakout10_bull,30,-20,45,17,2696254,58.8,15.88
CONL,breakout10_rsi,30,-20,45,17,2696254,58.8,15.88
IREN,dual_mom_rsi,15,-20,30,32,2667053,71.9,8.34
IREN,macd_hist_grow,15,-10,20,42,2660614,59.5,6.34
PTIR,vol_surge_up,25,-20,30,7,2649686,100.0,37.89
IREN,macd_hist_grow,15,-20,30,36,2643487,72.2,7.35
PTIR,mom20_rsi,25,-20,30,15,2640900,80.0,17.62
IREN,adx_di_cross,25,-15,20,30,2631170,60.0,8.78
IREN,breakout10_rsi,30,-20,45,19,2617641,63.2,13.79
CONL,vol_high_break,30,-20,45,13,2617302,69.2,20.15
IREN,mom20_rsi,20,-20,30,25,2606848,72.0,10.44
CONL,adx_di_cross,12,-10,15,58,2606831,58.6,4.5
PTIR,vol_surge_up,30,-20,45,7,2603084,85.7,37.22
NVDL,macd_positive_rsi,15,-20,30,27,2597098,81.5,9.63
PTIR,breakout20_bull,30,-20,45,9,2589455,77.8,28.8
PTIR,bb_squeeze_break,25,-20,30,14,2581167,71.4,18.46
IREN,vol_surge_rsi,20,-20,30,21,2573587,71.4,12.27
CONL,macd_hist_grow,25,-15,20,32,2566734,56.2,8.03
IREN,macd_positive_rsi,12,-10,15,42,2563787,66.7,6.11
NVDL,breakout20_bull,30,-20,45,12,2548955,91.7,21.26
CONL,adx_di_cross,25,-15,20,33,2546267,57.6,7.72
PTIR,macd_hist_grow,12,-10,15,27,2533539,74.1,9.39
PTIR,vol_surge_rsi,20,-20,30,8,2522856,100.0,31.57
IREN,breakout20_bull,25,-20,30,19,2517036,68.4,13.26
IREN,vol_surge_rsi,25,-20,30,19,2516934,68.4,13.26
IREN,bb_squeeze_break,25,-15,20,27,2514816,63.0,9.32
PTIR,bb_high_pct,20,-20,30,17,2513887,70.6,14.8
CONL,vol_surge_up,15,-20,30,25,2510989,68.0,10.05
CONL,macd_positive_rsi,15,-10,20,50,2509735,52.0,5.02
PTIR,bb_high_pct_vol,30,-20,45,8,2504984,87.5,31.34
CONL,bb_high_pct_vol,25,-20,30,23,2499200,56.5,10.88
CONL,macd_hist_grow,12,-10,15,57,2485492,56.1,4.36
CONL,bb_high_pct_vol,20,-15,20,29,2483602,58.6,8.57
CONL,bb_mid_up,15,-10,20,32,2482441,56.2,7.77
IREN,bb_high_pct_vol,15,-10,20,33,2451416,63.6,7.44
CONL,vol_high_break,25,-20,30,14,2443660,71.4,17.47
PTIR,bb_squeeze_break,15,-20,30,21,2441958,81.0,11.64
CONL,bb_squeeze_break,25,-20,30,27,2440977,55.6,9.05
IREN,bb_macd_vol,15,-10,20,34,2438228,61.8,7.18
NVDL,macd_hist_grow,30,-20,45,16,2434115,75.0,15.23
IREN,all_green,30,-20,45,13,2432826,69.2,18.73
PTIR,bb_mid_up,25,-15,20,14,2426741,78.6,17.35
PTIR,macd_positive_rsi,12,-10,15,27,2414322,74.1,8.95
CONL,breakout20_bull,30,-20,45,15,2412542,60.0,16.1
NVDL,breakout20_bull,25,-20,30,13,2403759,76.9,18.51
IREN,breakout20_bull,15,-20,30,21,2399037,76.2,11.44
PTIR,bb_squeeze_break,20,-20,30,16,2381893,68.8,14.9
IREN,dual_mom_rsi,20,-15,20,27,2371628,66.7,8.79
NVDL,triple_ma_align,15,-20,30,24,2368365,83.3,9.88
NVDL,dual_mom_rsi,15,-20,30,28,2366429,78.6,8.46
PTIR,vol_surge_up,25,-15,20,7,2360587,100.0,33.76
IREN,bb_squeeze_break,15,-10,20,38,2354182,57.9,6.2
CONL,bb_macd_vol,25,-15,20,31,2353244,51.6,7.6
IREN,all_green,20,-20,30,15,2343363,80.0,15.64
PTIR,breakout10_bull,15,-20,30,14,2342491,85.7,16.75
CONL,macd_positive_rsi,25,-15,20,32,2342337,56.2,7.33
CONL,bb_macd_vol,15,-20,30,36,2339684,61.1,6.51
PTIR,breakout20_bull,25,-20,30,11,2337582,90.9,21.27
NVDL,breakout10_bull,30,-20,45,14,2337294,78.6,16.71
PTIR,adx_di_cross,15,-10,20,27,2334700,66.7,8.66
IREN,mom20_rsi,15,-20,30,32,2319727,71.9,7.26
PTIR,vol_surge_rsi,25,-20,30,7,2314336,100.0,33.1
PTIR,bb_mid_up,20,-15,20,14,2313327,78.6,16.54
IREN,dual_mom_rsi,25,-15,20,25,2312212,68.0,9.26
IREN,bb_mid_up,30,-20,45,15,2298907,66.7,15.34
NVDL,breakout10_bull,25,-20,30,14,2290910,78.6,16.38
CONL,bb_macd_vol,15,-10,20,43,2290431,51.2,5.33
PTIR,dual_mom_rsi,25,-20,30,14,2288211,78.6,16.36
PTIR,bb_macd_vol,25,-20,30,10,2280932,90.0,22.83
IREN,bb_squeeze_break,20,-15,20,30,2280304,63.3,7.61
IREN,adx_di_cross,20,-15,20,31,2279861,58.1,7.36
PTIR,vol_surge_up,20,-20,30,8,2278654,100.0,28.51
NVDL,breakout10_rsi,30,-20,45,14,2270674,78.6,16.24
IREN,breakout10_bull,25,-20,30,22,2268215,63.6,10.32
PTIR,vol_surge_rsi,30,-20,45,7,2267735,85.7,32.43
CONL,vol_surge_rsi,15,-20,30,26,2263998,65.4,8.72
IREN,breakout_macd_adx,15,-20,30,12,2262506,91.7,18.87
IREN,breakout10_rsi,15,-20,30,23,2260164,73.9,9.84
CONL,bb_high_pct_vol,15,-20,30,30,2257184,63.3,7.53
PTIR,bb_macd_vol,20,-20,30,12,2256119,83.3,18.82
IREN,breakout10_bull,12,-10,15,25,2255993,76.0,9.03
IREN,bb_mid_up,25,-15,20,16,2251996,68.8,14.09
IREN,breakout10_bull,15,-10,20,24,2245037,70.8,9.36
CONL,bb_macd_vol,20,-20,30,33,2244532,57.6,6.81
IREN,bb_high_pct,15,-10,20,43,2244189,55.8,5.22
IREN,all_green,25,-20,30,13,2240998,76.9,17.26
CONL,bb_mid_up,12,-10,15,34,2236509,61.8,6.58
CONL,bb_squeeze_break,20,-20,30,30,2236494,60.0,7.46
PTIR,vol_surge_up,15,-20,30,10,2227407,100.0,22.3
PTIR,breakout10_rsi,15,-20,30,14,2219021,85.7,15.87
NVDL,breakout10_rsi,25,-20,30,14,2215720,71.4,15.84
NVDL,triple_ma_align,20,-20,30,17,2213759,82.4,13.04
IREN,breakout20_bull,20,-20,30,20,2212029,70.0,11.07
NVDL,bb_high_pct,15,-20,30,30,2210073,76.7,7.37
NVDL,bb_squeeze_break,15,-20,30,29,2208557,75.9,7.62
PTIR,macd_positive_rsi,15,-10,20,24,2207587,66.7,9.21
IREN,macd_positive_rsi,15,-10,20,40,2204534,57.5,5.52
CONL,mom20_rsi,30,-20,45,25,2204279,52.0,8.83
PTIR,mom20_rsi,15,-10,20,25,2201796,72.0,8.82
IREN,all_green,15,-20,30,19,2200504,78.9,11.59
IREN,dual_mom_rsi,12,-10,15,38,2199643,65.8,5.79
NVDL,triple_ma_align,25,-20,30,15,2199251,80.0,14.68
IREN,breakout10_bull,15,-20,30,23,2194530,73.9,9.55
IREN,triple_ma_align,25,-20,30,19,2192625,68.4,11.55
CONL,dual_mom_rsi,20,-15,20,31,2192480,54.8,7.08
PTIR,macd_hist_grow,15,-10,20,24,2187012,66.7,9.12
PTIR,bb_high_pct,12,-10,15,30,2185845,70.0,7.29
PTIR,mom20_rsi,25,-15,20,17,2183911,76.5,12.86
CONL,breakout20_bull,20,-15,20,20,2183864,60.0,10.93
CONL,vol_high_break,15,-20,30,15,2178112,73.3,14.54
IREN,breakout10_rsi,25,-20,30,22,2174761,63.6,9.9
NVDL,bb_high_pct,25,-20,30,22,2161830,68.2,9.84
IREN,macd_hist_grow,20,-15,20,31,2161617,58.1,6.98
IREN,triple_ma_align,30,-20,45,18,2160412,61.1,12.01
IREN,breakout10_rsi,12,-10,15,25,2154434,76.0,8.63
PTIR,breakout10_bull,25,-20,30,12,2151663,83.3,17.95
PTIR,dual_mom_rsi,12,-10,15,26,2146735,73.1,8.26
PTIR,dual_mom_rsi,15,-10,20,23,2145689,69.6,9.34
NVDL,bb_macd_vol,25,-15,20,15,2140500,73.3,14.28
CONL,vol_surge_up,20,-15,20,24,2133417,58.3,8.9
NVDL,macd_hist_grow,25,-15,20,24,2129220,75.0,8.88
NVDL,triple_align_vol,25,-15,20,12,2125187,83.3,17.73
IREN,vol_surge_rsi,30,-20,45,16,2122212,62.5,13.28
IREN,triple_align_vol,25,-20,30,14,2118670,71.4,15.15
NVDL,bb_macd_vol,30,-20,45,13,2114450,76.9,16.28
CONL,all_green,20,-15,20,21,2105776,61.9,10.04
CONL,breakout10_rsi,20,-15,20,22,2102399,59.1,9.57
CONL,breakout10_bull,20,-15,20,22,2102399,59.1,9.57
PTIR,vol_surge_up,12,-10,15,11,2100774,100.0,19.12
IREN,triple_ma_align,20,-20,30,19,2098982,68.4,11.06
PTIR,macd_hist_grow,20,-15,20,18,2092049,72.2,11.63
CONL,vol_surge_up,25,-15,20,20,2090578,55.0,10.46
CONL,dual_mom_rsi,30,-20,45,23,2084800,52.2,9.07
PTIR,mom20_rsi,12,-10,15,30,2081746,70.0,6.95
IREN,mom20_rsi,15,-10,20,39,2081056,56.4,5.34
IREN,bb_squeeze_break,15,-20,30,33,2077847,69.7,6.3
PTIR,vol_surge_rsi,15,-20,30,9,2075993,100.0,23.09
IREN,bb_high_pct_vol,20,-15,20,26,2074778,61.5,7.99
PTIR,bb_mid_up,12,-10,15,19,2073395,78.9,10.92
NVDL,mom20_rsi,15,-20,30,28,2072673,75.0,7.41
CONL,mom20_rsi,25,-20,30,29,2072106,51.7,7.15
NVDL,adx_di_cross,15,-20,30,30,2071683,73.3,6.91
PTIR,bb_high_pct_vol,20,-20,30,9,2069827,77.8,23.02
CONL,vol_surge_up,25,-20,30,19,2069756,57.9,10.9
IREN,triple_ma_align,12,-10,15,28,2060332,71.4,7.37
CONL,bb_squeeze_break,15,-10,20,42,2051328,52.4,4.89
PTIR,adx_di_cross,12,-10,15,31,2050945,67.7,6.62
IREN,vol_high_break,30,-20,45,19,2047326,57.9,10.79
PTIR,bb_high_pct,15,-10,20,26,2046862,65.4,7.88
PTIR,bb_squeeze_break,12,-10,15,26,2046068,73.1,7.88
IREN,breakout10_rsi,15,-10,20,24,2041898,66.7,8.52
PTIR,dual_mom_rsi,20,-15,20,16,2040361,75.0,12.77
CONL,vol_surge_up,20,-20,30,23,2039949,60.9,8.88
IREN,breakout_macd_adx,30,-20,45,10,2039272,70.0,20.41
CONL,bb_mid_up,25,-20,30,21,2037279,57.1,9.71
IREN,breakout20_bull,12,-10,15,23,2036005,78.3,8.86
CONL,bb_high_pct_vol,20,-20,30,28,2032077,57.1,7.26
PTIR,breakout10_rsi,25,-20,30,12,2028193,83.3,16.92
PTIR,vol_surge_rsi,25,-15,20,7,2025238,100.0,28.96
PTIR,macd_positive_rsi,20,-15,20,19,2023549,68.4,10.66
IREN,adx_trend_up,30,-20,45,13,2015225,61.5,15.52
IREN,macd_hist_grow,25,-15,20,29,2004754,55.2,6.92
IREN,bb_high_pct_vol,25,-15,20,24,2004008,58.3,8.36
NVDL,mom20_rsi,25,-20,30,20,2002597,65.0,10.02
NVDL,bb_macd_vol,25,-20,30,15,2002262,73.3,13.36
IREN,breakout20_bull,25,-15,20,20,2000161,65.0,10.01
IREN,triple_ma_align,25,-15,20,19,1998499,57.9,10.53
PTIR,bb_mid_up,15,-10,20,16,1997994,75.0,12.5
NVDL,bb_high_pct,30,-20,45,17,1992250,64.7,11.73
PTIR,bb_high_pct_vol,15,-20,30,12,1991157,83.3,16.61
CONL,vol_surge_rsi,20,-15,20,25,1981636,56.0,7.93
NVDL,triple_align_vol,25,-20,30,12,1981418,83.3,16.53
IREN,vol_surge_up,15,-20,30,26,1980551,65.4,7.63
CONL,vol_surge_up,15,-10,20,27,1978207,51.9,7.33
NVDL,triple_ma_align,30,-20,45,13,1975701,69.2,15.21
CONL,mom20_rsi,25,-15,20,34,1975000,50.0,5.81
PTIR,vol_surge_up,15,-10,20,11,1974657,90.9,17.97
PTIR,vol_surge_rsi,12,-10,15,10,1974398,100.0,19.76
CONL,breakout_macd_adx,20,-15,20,12,1969292,75.0,16.43
PTIR,triple_align_vol,30,-20,45,6,1968173,100.0,32.84
IREN,breakout20_bull,15,-10,20,22,1966541,68.2,8.95
IREN,breakout20_bull,30,-20,45,17,1959787,58.8,11.54
NVDL,bb_high_pct,20,-20,30,23,1958159,73.9,8.52
NVDL,macd_positive_rsi,30,-20,45,16,1957329,68.8,12.25
IREN,triple_align_vol,20,-20,30,15,1953824,73.3,13.04
IREN,breakout10_rsi,25,-15,20,22,1948712,63.6,8.87
PTIR,bb_squeeze_break,20,-15,20,16,1946625,68.8,12.18
PTIR,bb_macd_vol,15,-20,30,13,1946319,84.6,14.99
CONL,vol_surge_rsi,25,-15,20,21,1938796,52.4,9.24
NVDL,breakout20_bull,25,-15,20,15,1937856,66.7,12.93
CONL,vol_surge_rsi,15,-10,20,27,1936343,51.9,7.18
IREN,breakout10_rsi,20,-20,30,23,1931265,65.2,8.41
IREN,breakout10_rsi,20,-15,20,23,1929841,65.2,8.4
CONL,dual_mom_rsi,20,-20,30,29,1929559,58.6,6.66
CONL,bb_lower_bounce,20,-20,30,30,1925607,60.0,6.43
CONL,bb_lower_bounce,20,-15,20,30,1925607,60.0,6.43
IREN,triple_align_vol,30,-20,45,12,1918154,66.7,16.0
CONL,mom20_rsi,20,-15,20,36,1915822,52.8,5.33
ROBN,macd_hist_grow,30,-20,45,10,1913990,70.0,19.16
CONL,vol_high_break,20,-20,30,15,1912982,66.7,12.77
NVDL,adx_di_cross,30,-20,45,17,1911632,64.7,11.26
CONL,breakout10_bull,25,-20,30,20,1911387,55.0,9.57
CONL,breakout10_rsi,25,-20,30,20,1911387,55.0,9.57
NVDL,triple_align_vol,20,-15,20,13,1909046,84.6,14.7
NVDL,breakout10_rsi,25,-15,20,18,1908385,66.7,10.61
IREN,bb_high_pct,20,-15,20,33,1907174,57.6,5.79
IREN,vol_surge_up,30,-20,45,20,1905482,55.0,9.54
CONL,vol_high_break,20,-15,20,16,1901144,62.5,11.89
PTIR,vol_surge_rsi,20,-15,20,8,1898961,87.5,23.76
PTIR,bb_squeeze_break,25,-15,20,14,1895146,71.4,13.55
IREN,bb_mid_up,15,-20,30,20,1890136,75.0,9.46
NVDL,triple_ma_align,15,-10,20,26,1889423,73.1,7.27
IREN,bb_macd_vol,25,-15,20,26,1876654,53.8,7.23
IREN,breakout10_bull,20,-20,30,23,1874682,65.2,8.16
IREN,bb_mid_up,25,-20,30,15,1874003,66.7,12.51
PTIR,breakout10_bull,20,-20,30,13,1870847,76.9,14.41
NVDL,adx_di_cross,25,-20,30,22,1870469,59.1,8.51
CONL,dual_mom_rsi,15,-20,30,32,1869777,62.5,5.85
CONL,vol_high_break,15,-10,20,16,1865723,62.5,11.67
NVDL,bb_high_pct,25,-15,20,26,1864406,65.4,7.18
PTIR,bb_macd_vol,25,-15,20,10,1859141,90.0,18.61
IREN,breakout20_bull,20,-15,20,21,1858688,66.7,8.86
NVDL,dual_mom_rsi,25,-15,20,24,1858260,62.5,7.75
NVDL,breakout10_bull,25,-15,20,18,1855813,61.1,10.32
IREN,bb_high_pct,25,-15,20,30,1853607,56.7,6.18
ROBN,dual_mom_rsi,25,-15,20,10,1851744,80.0,18.54
ROBN,adx_di_cross,25,-15,20,10,1851744,80.0,18.54
IREN,dual_mom_rsi,15,-10,20,36,1850375,55.6,5.15
NVDL,mom20_rsi,20,-20,30,22,1849886,63.6,8.42
NVDL,macd_positive_rsi,25,-15,20,23,1841369,65.2,8.01
IREN,all_green,12,-10,15,24,1835625,70.8,7.66
NVDL,mom20_rsi,30,-20,45,17,1833642,58.8,10.8
NVDL,bb_high_pct_vol,25,-15,20,15,1827473,66.7,12.2
PTIR,vol_surge_rsi,15,-10,20,10,1823243,90.0,18.25
CONL,vol_surge_rsi,25,-20,30,20,1822766,55.0,9.12
IREN,breakout10_bull,25,-15,20,22,1817297,59.1,8.27
CONL,triple_align_vol,20,-15,20,14,1814722,71.4,12.98
IREN,triple_ma_align,15,-20,30,21,1813790,71.4,8.65
NVDL,bb_macd_vol,20,-20,30,16,1811067,68.8,11.33
CONL,bb_mid_up,30,-20,45,19,1810099,52.6,9.54
NVDL,all_green,15,-20,30,14,1809306,85.7,12.94
CONL,breakout20_bull,25,-15,20,19,1803814,52.6,9.5
IREN,all_green,15,-10,20,21,1802803,61.9,8.59
NVDL,bb_macd_vol,20,-15,20,16,1801106,68.8,11.27
IREN,bb_macd_vol,20,-15,20,28,1800013,57.1,6.44
NVDL,mom20_rsi,15,-10,20,30,1797517,66.7,6.0
NVDL,bb_high_pct_vol,30,-20,45,13,1795052,76.9,13.82
CONL,breakout20_bull,15,-20,30,20,1793851,65.0,8.98
CONL,vol_surge_rsi,20,-20,30,24,1792959,58.3,7.48
PTIR,bb_high_pct_vol,25,-20,30,8,1791100,75.0,22.41
