period,ticker,strategy,n,pnl,wr,avg,p_target_pct,p_stop_pct,p_hold_days,p_trailing_pct,p_unit_mul,p_max_pyramid,p_pyramid_add_pct,p_btc_rsi_max,p_vix_min,p_vix_max,p_pct_ma20_min,p_vol_ratio_min,p_rsi14_min,p_di_min_gap,p_surge_pct
train,IREN,btc_rsi_e,12,13313651,75.0,23.87,54.37223936576899,-10.96617802230267,50,-8.0,2.9961368977695684,2,5.672433031340722,64.62340806057362,12.400528962632702,34.737675409758516,12.760342877537317,1.4205740936544942,37.163778070764316,7.8208422474377155,5.960159296166725
train,CONL,btc_rsi_e,4,4962700,75.0,24.84,54.37223936576899,-10.96617802230267,50,-8.0,2.9961368977695684,2,5.672433031340722,64.62340806057362,12.400528962632702,34.737675409758516,12.760342877537317,1.4205740936544942,37.163778070764316,7.8208422474377155,5.960159296166725
train,PTIR,btc_rsi_e,8,5390526,75.0,16.84,54.37223936576899,-10.96617802230267,50,-8.0,2.9961368977695684,2,5.672433031340722,64.62340806057362,12.400528962632702,34.737675409758516,12.760342877537317,1.4205740936544942,37.163778070764316,7.8208422474377155,5.960159296166725
oos,IREN,btc_rsi_e,1,-155255,0.0,-5.19,54.37223936576899,-10.96617802230267,50,-8.0,2.9961368977695684,2,5.672433031340722,64.62340806057362,12.400528962632702,34.737675409758516,12.760342877537317,1.4205740936544942,37.163778070764316,7.8208422474377155,5.960159296166725
oos,CONL,btc_rsi_e,0,0,0.0,0.0,54.37223936576899,-10.96617802230267,50,-8.0,2.9961368977695684,2,5.672433031340722,64.62340806057362,12.400528962632702,34.737675409758516,12.760342877537317,1.4205740936544942,37.163778070764316,7.8208422474377155,5.960159296166725
oos,PTIR,btc_rsi_e,0,0,0.0,0.0,54.37223936576899,-10.96617802230267,50,-8.0,2.9961368977695684,2,5.672433031340722,64.62340806057362,12.400528962632702,34.737675409758516,12.760342877537317,1.4205740936544942,37.163778070764316,7.8208422474377155,5.960159296166725
