ticker,strategy,target,stop,hold,unit_mul,max_pyr,trailing,n,pnl,wr,avg,avg_layers
ROBN,j_2cond_rsi_vix,60,-25,60,3.0,3,False,14,8397104,42.9,6.18,1.43
PTIR,j_btc_rsi_vix,80,-25,90,2.0,5,False,5,8385407,60.0,32.29,2.0
PTIR,j_btc_rsi_low_trend,60,-25,60,2.0,5,False,7,8352661,57.1,9.1,3.29
ROBN,j_pullback_macd,50,-25,45,5.0,1,False,3,8329688,100.0,55.59,1.0
PTIR,j_2cond_rsi_vix,50,-25,45,5.0,1,False,15,8298149,46.7,11.08,1.0
NVDL,j_2cond_rsi_vix,50,-25,45,5.0,1,False,13,8272725,61.5,12.74,1.0
IREN,j_mstr_below_btc_low,40,-20,30,5.0,1,False,19,8262706,52.6,8.71,1.0
CONL,j_2cond_rsi_vix,80,-25,90,2.0,5,False,24,8201360,25.0,0.02,1.38
ROBN,j_triple_neutral,50,-25,45,5.0,1,False,3,8168630,100.0,54.51,1.0
ROBN,j_vix_optimal,50,-25,45,5.0,1,False,3,8168630,100.0,54.51,1.0
ROBN,j_vcp_pullback,80,-25,90,3.0,3,False,3,8030377,66.7,49.27,1.67
ROBN,j_di_vix_rsi,60,-25,60,3.0,3,True,3,8007267,66.7,47.1,1.67
PTIR,j_btc_rsi_vix,50,-25,45,3.0,3,False,6,7967075,66.7,25.14,1.5
ROBN,j_vcp_pullback,60,-25,60,3.0,3,True,3,7963628,66.7,46.12,1.67
ROBN,j_di_vix_rsi,80,-25,90,3.0,3,False,3,7955577,66.7,48.44,1.67
ROBN,j_2cond_pull_btcrsi,60,-25,60,3.0,3,False,3,7939873,100.0,56.82,2.0
ROBN,j_di_pullback,60,-25,60,3.0,3,False,3,7939873,100.0,56.82,2.0
ROBN,j_triple_neutral,40,-20,30,5.0,1,False,3,7884044,100.0,52.61,1.0
ROBN,j_vix_optimal,40,-20,30,5.0,1,False,3,7884044,100.0,52.61,1.0
ROBN,j_2cond_rsi_vix,80,-25,90,3.0,3,True,23,7841111,39.1,2.88,1.43
MSTX,j_btc_rsi_low_trend,40,-20,30,5.0,1,False,4,7790549,75.0,38.99,1.0
PTIR,j_mstr_below_btc_low,80,-25,90,3.0,3,False,9,7723769,33.3,9.19,1.89
MSTX,j_btc_rsi_vix,40,-20,30,5.0,1,False,4,7723499,75.0,38.66,1.0
MSTX,j_btc_rsi_vix,80,-25,90,3.0,3,False,3,7687449,66.7,51.47,2.0
MSTX,j_di_vix_rsi,80,-25,90,3.0,3,False,4,7684892,50.0,33.06,1.5
ROBN,j_vcp_pullback,60,-25,60,3.0,3,False,3,7634345,66.7,42.46,1.67
MSTX,j_vcp_pullback,80,-25,90,3.0,3,False,4,7619025,50.0,34.73,1.5
IREN,j_btc_rsi_low_trend,30,-20,30,3.0,1,False,17,7548249,70.6,14.82,1.0
ROBN,j_2cond_rsi_vix,40,-20,30,5.0,1,False,19,7520536,47.4,7.92,1.0
ROBN,j_mstr_below_btc_low,80,-25,90,3.0,3,False,7,7495667,28.6,3.24,1.57
ROBN,j_di_vix_rsi,60,-25,60,3.0,3,False,3,7482662,66.7,41.27,1.67
ROBN,j_di_vix_rsi,40,-20,30,5.0,1,False,4,7456294,75.0,37.32,1.0
ROBN,j_di_pullback,40,-20,30,5.0,1,False,4,7388961,100.0,36.98,1.0
ROBN,j_2cond_pull_btcrsi,40,-20,30,5.0,1,False,4,7388961,100.0,36.98,1.0
ROBN,j_2cond_rsi_vix,50,-25,45,5.0,1,False,17,7316123,52.9,8.62,1.0
MSTX,j_di_vix_rsi,40,-20,30,5.0,1,False,5,7300779,60.0,29.23,1.0
PTIR,j_2cond_rsi_vix,50,-25,45,2.0,3,False,16,7294582,43.8,10.82,1.75
MSTX,j_vix_optimal,80,-25,90,3.0,3,False,4,7294572,50.0,35.32,1.75
ROBN,j_pullback_macd,40,-20,30,5.0,1,False,3,7287022,100.0,48.63,1.0
ROBN,j_btc_rsi_low_trend,50,-25,45,5.0,1,False,5,7286454,80.0,29.17,1.0
ROBN,j_btc_rsi_low_pull,50,-25,45,5.0,1,False,3,7240433,100.0,48.32,1.0
IREN,j_mstr_below_btc_low,40,-20,20,4.0,1,False,22,7188716,50.0,8.18,1.0
PTIR,j_btc_rsi_low_trend,80,-25,90,2.0,5,False,6,7184657,50.0,14.48,3.5
PTIR,j_btc_rsi_vix,50,-25,45,5.0,1,False,6,7161733,66.7,23.9,1.0
ROBN,j_di_pullback,80,-25,90,2.0,5,False,3,7156236,100.0,70.23,2.0
ROBN,j_2cond_pull_btcrsi,80,-25,90,2.0,5,False,3,7156236,100.0,70.23,2.0
PTIR,j_2cond_rsi_vix,25,-15,20,3.0,1,False,26,7132865,53.8,9.15,1.0
MSTX,j_vcp_pullback,60,-25,60,3.0,3,False,4,7097166,50.0,31.46,1.5
MSTX,j_vix_optimal,40,-20,30,5.0,1,False,5,7091284,60.0,28.39,1.0
MSTU,j_2cond_rsi_vix,60,-25,60,3.0,3,True,33,7012977,42.4,2.56,1.3
CONL,j_2cond_rsi_vix,60,-25,60,3.0,3,True,38,6966225,34.2,-0.12,1.34
ROBN,j_vcp_pullback,50,-25,45,5.0,1,False,4,6906673,75.0,34.57,1.0
PTIR,j_btc_rsi_low_trend,80,-25,90,3.0,3,True,11,6883218,54.5,7.76,2.0
NVDL,j_mstr_below_btc_low,80,-25,90,3.0,3,True,19,6848218,21.1,0.8,1.79
PTIR,j_vix_optimal,60,-25,60,3.0,3,False,5,6845281,60.0,21.21,1.6
IREN,j_btc_rsi_low_trend,30,-20,45,2.0,2,False,15,6843666,60.0,12.12,1.87
ROBN,j_btc_rsi_low_trend,60,-25,60,3.0,3,True,5,6817554,40.0,15.13,1.8
ROBN,j_di_vix_rsi,80,-25,90,3.0,3,True,3,6798160,66.7,35.57,1.67
PTIR,j_di_vix_rsi,60,-25,60,2.0,5,False,5,6792528,60.0,23.23,2.6
IREN,j_mstr_below_btc_low,50,-25,45,5.0,1,False,13,6783544,46.2,10.45,1.0
ROBN,j_di_vix_rsi,50,-25,45,5.0,1,False,4,6782007,75.0,33.94,1.0
PTIR,j_vix_optimal,80,-25,90,2.0,5,False,5,6776965,60.0,27.07,1.8
ROBN,j_btc_rsi_low_trend,80,-25,90,3.0,3,True,5,6722506,40.0,14.49,1.8
ROBN,j_vcp_pullback,80,-25,90,3.0,3,True,3,6677638,66.7,34.23,1.67
NVDL,j_2cond_rsi_vix,80,-25,90,3.0,3,False,9,6656476,55.6,13.96,2.0
ROBN,j_vcp_pullback,40,-20,30,5.0,1,False,4,6622087,75.0,33.14,1.0
PTIR,j_di_vix_rsi,60,-25,60,3.0,3,False,5,6551238,60.0,21.73,2.2
ROBN,j_2cond_rsi_vix,60,-25,60,2.0,5,False,14,6541494,42.9,4.6,1.57
AMDL,j_2cond_rsi_vix,40,-20,20,4.0,1,False,21,6510850,52.4,7.76,1.0
