ticker,signal,thresh,direction,target,stop,hold,n,pnl,wr,avg
IREN,btc_momentum3,0,above,20,-20,30,49,3040297,59.2,6.21
PTIR,btc_mstr_combo,55,above,25,-15,20,19,3030262,73.7,15.96
IREN,mstr_rsi,55,above,25,-20,30,29,3028961,65.5,10.46
CONL,mstr_pct_ma20,0,above,30,-20,45,34,3025534,52.9,8.91
PTIR,mstr_pct_ma20,0,above,15,-15,20,29,3025354,75.9,10.44
PTIR,btc_pct_ma20,0,above,25,-20,30,23,3021692,69.6,13.15
CONL,btc_rsi,50,above,25,-20,30,47,3014039,46.8,6.42
PTIR,mstr_pct_ma20,5,above,25,-20,30,15,3008641,80.0,20.08
IREN,btc_momentum3,0,above,15,-20,30,58,3004035,63.8,5.18
CONL,mstr_rsi,60,above,15,-15,20,45,3001922,57.8,6.68
IREN,btc_mstr_combo,55,above,30,-20,45,30,2996522,60.0,10.0
IREN,btc_pct_ma20,-5,above,20,-15,20,64,2981911,51.6,4.66
IREN,btc_momentum3,0,above,25,-20,30,43,2973032,53.5,6.92
CONL,btc_rsi,40,above,20,-15,20,81,2966755,44.4,3.67
PTIR,btc_pct_ma20,-5,above,12,-10,20,57,2952254,63.2,5.18
IREN,btc_rsi,50,above,30,-20,45,31,2948877,54.8,9.52
IREN,btc_rsi,60,above,15,-15,20,42,2945941,69.0,7.02
CONL,btc_momentum3,0,above,15,-20,30,76,2943727,57.9,3.88
IREN,btc_ret3,3,above,30,-20,45,28,2943537,64.3,10.52
IREN,btc_mstr_combo,55,above,12,-10,20,57,2943129,59.6,5.17
IREN,btc_rsi,60,above,25,-15,20,33,2940429,60.6,8.92
IREN,mstr_rsi,55,above,20,-20,30,34,2939210,67.6,8.65
CONL,mstr_rsi,55,above,15,-20,30,50,2935867,62.0,5.88
IREN,btc_mstr_combo,60,above,30,-20,45,24,2932279,62.5,12.23
PTIR,mstr_rsi,55,above,25,-15,20,16,2925402,81.2,18.3
IREN,btc_mstr_combo,55,above,25,-20,30,32,2921733,59.4,9.14
PTIR,btc_pct_ma20,0,above,15,-20,30,28,2909742,75.0,10.4
PTIR,btc_mstr_combo,55,above,30,-20,45,15,2907582,73.3,19.4
IREN,btc_momentum3,0,above,12,-10,20,92,2903600,54.3,3.16
IREN,btc_rsi,50,above,15,-15,20,58,2897793,58.6,5.0
PTIR,btc_mstr_combo,60,above,20,-20,30,16,2890601,81.2,18.08
CONL,mstr_rsi,60,above,15,-20,30,40,2889687,62.5,7.23
PTIR,mstr_pct_ma20,5,above,25,-15,20,16,2883634,75.0,18.04
PTIR,btc_momentum3,0,above,15,-20,30,34,2883567,73.5,8.49
