매수일,매도일,ticker,sector,result,pnl_pct,held_days,btc_regime,btc_rsi14,btc_pct_ma20,btc_ret10,mstr_rsi14,mstr_pct_ma20,qqq_rsi14,qqq_pct_ma20,qqq_bull,vix,ticker_price,ticker_rsi14,ticker_pct_ma20,ticker_ret5,ticker_ret10,ticker_vol_ratio
2023-10-06,2023-10-12,TQQQ,SEMI,profit,3.04,6,2.0,66.0106130624207,3.6035615786511843,6.596220641943762,50.00514279298414,2.8366659054370467,43.41285941776595,0.2660790195656134,0.0,17.450000762939453,18.184913635253906,41.4,-0.23,4.86,4.83,1.43
2023-10-12,2023-10-12,JEPI,OTHER,profit,0.09,0,0.0,46.88787573084445,-1.4883509624690294,-2.8113485457543885,50.40972060655269,-1.7178088729192877,64.95028843556888,2.0232901080853893,0.0,16.690000534057617,,,,,,
2023-10-12,2023-10-12,TQQQ,SEMI,profit,0.56,0,0.0,46.88787573084445,-1.4883509624690294,-2.8113485457543885,50.40972060655269,-1.7178088729192877,64.95028843556888,2.0232901080853893,0.0,16.690000534057617,18.929841995239258,63.5,5.27,9.34,9.4,1.08
2023-10-12,2023-10-12,TQQQ,SEMI,profit,0.35,0,0.0,46.88787573084445,-1.4883509624690294,-2.8113485457543885,50.40972060655269,-1.7178088729192877,64.95028843556888,2.0232901080853893,0.0,16.690000534057617,18.929841995239258,63.5,5.27,9.34,9.4,1.08
2023-10-12,2023-10-12,TQQQ,SEMI,profit,1.42,0,0.0,46.88787573084445,-1.4883509624690294,-2.8113485457543885,50.40972060655269,-1.7178088729192877,64.95028843556888,2.0232901080853893,0.0,16.690000534057617,18.929841995239258,63.5,5.27,9.34,9.4,1.08
2023-10-13,2023-10-13,TQQQ,SEMI,profit,1.89,0,0.0,49.419359049610385,-1.1511407714968915,-2.0692816631324495,45.16496293355529,-3.0195504777946853,56.57014600324452,0.8102797745097845,0.0,19.31999969482422,18.214130401611328,55.0,1.59,0.16,5.03,1.17
2023-11-07,2023-11-09,JEPI,OTHER,profit,1.04,2,2.0,67.93140695505713,5.582540239978298,3.971854481260362,86.59098874574295,21.05061179560119,58.06960103461431,3.4390033254886285,0.0,14.8100004196167,,,,,,
2023-12-19,2023-12-21,TQQQ,SEMI,profit,1.76,2,1.0,41.2674141583708,0.6841785087581413,-3.328586084575713,64.68571480429372,4.52190533640264,79.18769272644573,4.031771611560194,1.0,12.529999732971191,24.840545654296875,78.9,11.87,8.37,17.86,0.76
2023-12-21,2023-12-21,CONL,BTC,profit,0.15,0,1.0,52.57940828865687,3.1262171080439485,6.3653646695845945,64.2030950089023,4.986568309773523,71.55480759534049,3.2338154481184116,1.0,13.649999618530273,32.339866638183594,72.2,28.25,13.83,35.37,0.66
2023-12-21,2023-12-22,CONL,BTC,profit,5.86,1,1.0,52.57940828865687,3.1262171080439485,6.3653646695845945,64.2030950089023,4.986568309773523,71.55480759534049,3.2338154481184116,1.0,13.649999618530273,32.339866638183594,72.2,28.25,13.83,35.37,0.66
2023-12-22,2023-12-25,CONL,BTC,profit,6.77,3,1.0,49.19125013810939,2.882103134671368,6.146359474659779,64.52802092861427,10.725083906045118,78.42402020132138,3.131784435091225,1.0,13.029999732971191,34.484554290771484,72.5,32.63,28.61,29.48,1.17
2023-12-28,2024-01-08,BITU,BTC,profit,4.15,11,1.0,48.02500114909307,-0.5210095567864753,0.010126813364030873,69.15042577433688,14.960357902360672,81.12542880572497,3.048467714523345,1.0,12.470000267028809,,,,,,
