period,ticker,strategy,n,pnl,wr,avg,p_target_pct,p_stop_pct,p_hold_days,p_trailing_pct,p_unit_mul,p_max_pyramid,p_pyramid_add_pct,p_btc_rsi_max,p_vix_min,p_vix_max,p_pct_ma20_min,p_vol_ratio_min,p_rsi14_min,p_di_min_gap,p_surge_pct,p_btc_above_ma20
train,IREN,di_surge,4,3578402,75.0,21.78,54.16863396975839,-21.558566961434696,43,,2.9234353492224567,2,10.497270712929796,76.82947542990532,18.020403468985986,38.597472703891064,2.7763814342788664,0.6310327388737618,10.969488491666024,3.5936138725482194,2.8382396082931898,False
train,CONL,di_surge,3,8999247,100.0,60.42,54.16863396975839,-21.558566961434696,43,,2.9234353492224567,2,10.497270712929796,76.82947542990532,18.020403468985986,38.597472703891064,2.7763814342788664,0.6310327388737618,10.969488491666024,3.5936138725482194,2.8382396082931898,False
train,PTIR,di_surge,5,8202558,80.0,38.61,54.16863396975839,-21.558566961434696,43,,2.9234353492224567,2,10.497270712929796,76.82947542990532,18.020403468985986,38.597472703891064,2.7763814342788664,0.6310327388737618,10.969488491666024,3.5936138725482194,2.8382396082931898,False
oos,IREN,di_surge,0,0,0.0,0.0,54.16863396975839,-21.558566961434696,43,,2.9234353492224567,2,10.497270712929796,76.82947542990532,18.020403468985986,38.597472703891064,2.7763814342788664,0.6310327388737618,10.969488491666024,3.5936138725482194,2.8382396082931898,False
oos,CONL,di_surge,0,0,0.0,0.0,54.16863396975839,-21.558566961434696,43,,2.9234353492224567,2,10.497270712929796,76.82947542990532,18.020403468985986,38.597472703891064,2.7763814342788664,0.6310327388737618,10.969488491666024,3.5936138725482194,2.8382396082931898,False
oos,PTIR,di_surge,0,0,0.0,0.0,54.16863396975839,-21.558566961434696,43,,2.9234353492224567,2,10.497270712929796,76.82947542990532,18.020403468985986,38.597472703891064,2.7763814342788664,0.6310327388737618,10.969488491666024,3.5936138725482194,2.8382396082931898,False
