ticker,strategy,target,stop,hold,unit_mul,max_pyr,trailing,n,pnl,wr,avg,avg_layers
IREN,j_vix_neutral_consec,80,-25,90,2.0,5,False,4,11364912,100.0,76.99,2.5
IREN,e1_di_surge_j_macro,50,-25,45,5.0,1,False,8,11351076,75.0,28.41,1.0
IREN,j_strong25_di_surge,80,-25,90,3.0,3,True,9,11181930,66.7,15.69,2.56
PTIR,l_balanced_4way,100,-30,120,2.0,3,False,3,11134564,100.0,90.12,2.33
IREN,j_strong25_vol_surge,50,-25,45,3.0,3,False,8,11119720,62.5,15.4,2.0
PTIR,l_champion_full,80,-25,90,2.0,5,False,6,11109209,66.7,32.17,2.33
IREN,l_qqq_j_macro_e,80,-25,90,3.0,3,False,4,11036733,75.0,58.96,2.25
IREN,l_wide_btc_rsi_e,80,-25,90,3.0,3,True,10,10996535,40.0,14.49,1.9
CONL,j_strong25_macd_di,100,-30,120,2.0,3,False,7,10986188,42.9,23.65,2.14
IREN,l_wide_btc_rsi_e,50,-25,45,3.0,3,False,8,10933226,75.0,19.35,2.38
PTIR,l_wide_btc_rsi_e,80,-25,90,2.0,5,False,7,10906916,42.9,14.88,3.29
IREN,j_strong25_macd_di,80,-25,90,2.0,3,True,10,10793027,50.0,18.42,2.2
CONL,j_strong25_di_surge,100,-30,120,2.0,3,False,7,10777227,42.9,26.64,1.86
IREN,j_strong25_macd_di,30,-15,20,5.0,1,False,14,10738627,71.4,15.36,1.0
IREN,e4_consec3_surge_j,60,-25,60,3.0,3,False,5,10724672,100.0,50.65,1.6
IREN,j_strong25_vol_surge,80,-25,90,3.0,3,True,8,10716735,62.5,17.53,2.25
IREN,j_vix_neutral_consec,50,-25,45,5.0,1,False,5,10686615,100.0,42.79,1.0
PTIR,j_vix_neutral_macd_di,80,-25,90,2.0,5,False,4,10670730,75.0,43.62,3.0
MSTX,l_wide_btc_rsi_e,80,-25,90,2.0,5,False,4,10620584,25.0,23.48,2.25
IREN,j_vix_neutral_consec,100,-30,120,2.0,3,False,4,10569524,100.0,89.94,2.0
IREN,j_strong25_macd_di,40,-20,30,3.0,3,False,11,10568952,45.5,8.79,2.18
IREN,l_wide_macd_vol,60,-25,60,3.0,3,False,9,10555991,66.7,27.0,1.56
MSTX,j_strong25_macd_di,80,-25,90,2.0,5,False,5,10531160,20.0,13.69,1.8
ROBN,e2_macd_di_j_macro,80,-25,90,3.0,3,False,3,10455703,66.7,45.49,2.67
CONL,j_strong25_vol_surge,60,-25,60,3.0,3,False,4,10445665,75.0,42.01,2.0
CONL,j_vix_neutral_consec,80,-25,90,3.0,3,False,3,10415062,100.0,91.89,1.33
CONL,j_vix_neutral_macd_di,50,-25,45,5.0,1,False,5,10353393,80.0,41.46,1.0
IREN,j_strong25_vol_surge,60,-25,60,2.0,5,False,7,10272102,57.1,18.93,2.57
PTIR,l_wide_macd_vol,100,-30,120,2.0,3,False,4,10208882,75.0,50.84,2.75
CONL,l_wide_macd_vol,60,-25,60,3.0,3,False,8,10191605,50.0,18.63,1.5
PTIR,j_vix_neutral_di_surge,100,-30,120,2.0,3,False,6,10184498,50.0,37.95,1.83
IREN,l_wide_macd_vol,80,-25,90,3.0,3,True,9,10183097,66.7,15.1,1.56
PTIR,l_wide_macd_vol,40,-20,30,5.0,1,False,7,10170317,71.4,29.09,1.0
IREN,e6_consec4_j,80,-25,90,3.0,3,False,3,10100254,66.7,51.39,2.0
IREN,j_strong25_macd_di,40,-20,30,5.0,1,False,13,10090406,53.8,15.54,1.0
IREN,l_wide_btc_rsi_e,40,-20,30,3.0,3,False,11,10070144,63.6,18.45,2.09
PTIR,l_wide_macd_vol,50,-25,45,5.0,1,False,5,10045621,80.0,40.22,1.0
IREN,j_strong25_macd_di,50,-25,45,5.0,1,False,10,10041889,60.0,20.1,1.0
IREN,j_strong25_macd_di,60,-25,60,3.0,3,True,11,10035717,63.6,10.97,2.45
CONL,l_qqq_j_macro_e,100,-30,120,2.0,3,False,3,10032077,66.7,78.98,2.0
CONL,j_vix_neutral_di_surge,40,-20,30,3.0,3,False,5,10029562,80.0,33.03,2.0
IREN,j_strong25_di_surge,50,-25,45,5.0,1,False,10,10020220,60.0,20.06,1.0
IREN,j_vix_neutral_rsi_accel,80,-25,90,3.0,3,False,4,9996169,75.0,49.91,1.75
MSTX,l_champion_full,80,-25,90,3.0,3,False,3,9971581,33.3,38.89,2.0
PTIR,j_vix_neutral_di_surge,80,-25,90,2.0,5,False,6,9962752,50.0,21.72,2.5
IREN,j_vix_neutral_di_surge,80,-25,90,3.0,3,False,6,9952330,66.7,40.66,2.0
IREN,j_vix_neutral_rsi_accel,50,-25,45,5.0,1,False,5,9926929,80.0,39.75,1.0
PTIR,j_vix_neutral_consec,100,-30,120,2.0,3,False,4,9908707,75.0,69.63,1.75
IREN,j_strong25_vol_surge,80,-25,90,2.0,3,True,7,9906464,57.1,26.7,2.14
PTIR,l_wide_macd_vol,60,-25,60,3.0,3,False,5,9882013,80.0,35.29,1.8
MSTX,j_vix_neutral_di_surge,80,-25,90,3.0,3,False,4,9876982,25.0,24.18,2.0
IREN,j_vix_neutral_consec,60,-25,60,3.0,3,False,5,9844767,100.0,50.0,1.8
PTIR,l_wide_macd_vol,50,-25,45,3.0,3,False,5,9818512,80.0,36.6,2.0
PTIR,l_balanced_4way,80,-25,90,3.0,3,False,4,9807328,75.0,59.11,2.0
CONL,e2_macd_di_j_macro,100,-30,120,2.0,3,False,3,9799570,100.0,115.22,1.67
PTIR,j_vix_neutral_di_surge,80,-25,90,3.0,3,False,6,9783018,50.0,23.16,1.83
IREN,e6_consec4_j,80,-25,90,2.0,5,False,3,9765802,66.7,54.74,2.67
PTIR,j_vix_neutral_consec,80,-25,90,3.0,3,False,4,9746484,75.0,47.17,1.75
ROBN,j_strong25_macd_di,80,-25,90,3.0,3,False,3,9740964,66.7,50.8,2.33
IREN,j_strong25_di_surge,40,-20,30,3.0,3,False,11,9699927,45.5,7.69,2.18
CONL,e2_macd_di_j_macro,80,-25,90,2.0,5,False,3,9698111,100.0,104.18,2.0
CONL,e1_di_surge_j_macro,60,-25,60,3.0,3,False,4,9583780,75.0,43.47,1.75
MSTX,j_strong25_di_surge,80,-25,90,3.0,3,False,4,9569252,25.0,21.42,1.5
IREN,j_strong25_vol_surge,40,-20,30,3.0,3,False,9,9504429,55.6,11.91,1.89
IREN,j_strong25_di_surge,50,-25,45,2.0,3,False,9,9499446,66.7,18.2,2.56
CONL,e1_di_surge_j_macro,80,-25,90,2.0,5,False,4,9465363,75.0,58.0,2.0
CONL,l_qqq_j_macro_e,80,-25,90,3.0,3,False,3,9463432,66.7,47.15,2.0
IREN,l_wide_btc_rsi_e,30,-15,20,5.0,1,False,13,9439724,69.2,14.54,1.0
IREN,j_vix_neutral_di_surge,50,-25,45,5.0,1,False,7,9389397,71.4,26.85,1.0
IREN,e6_consec4_j,100,-30,120,2.0,3,False,3,9312333,100.0,80.95,2.0
MSTX,j_vix_neutral_macd_di,30,-15,20,5.0,1,False,6,9270651,83.3,30.93,1.0
PTIR,e4_consec3_surge_j,80,-25,90,3.0,3,False,5,9255295,60.0,38.23,1.4
PTIR,e5_rsi_accel_vol_j,80,-25,90,3.0,3,False,5,9244176,60.0,41.15,1.6
CONL,j_strong25_vol_surge,60,-25,60,2.0,5,False,4,9237252,75.0,37.62,3.0
IREN,j_strong25_di_surge,80,-25,90,2.0,3,True,9,9236993,55.6,17.87,2.33
ROBN,j_vix_neutral_macd_di,80,-25,90,3.0,3,False,3,9231491,66.7,45.58,2.0
IREN,e1_di_surge_j_macro,40,-20,30,5.0,1,False,8,9204066,75.0,23.03,1.0
IREN,l_wide_vix_consec,60,-25,60,3.0,3,False,6,9175400,66.7,32.75,1.67
PTIR,e2_macd_di_j_macro,80,-25,90,3.0,3,False,5,9173615,60.0,24.27,2.2
IREN,j_vix_neutral_rsi_accel,80,-25,90,2.0,5,False,4,9106374,75.0,49.47,2.25
IREN,j_strong25_vol_surge,50,-25,45,5.0,1,False,9,9093556,55.6,20.23,1.0
PTIR,j_vix_neutral_rsi_accel,80,-25,90,3.0,3,False,4,9081169,75.0,59.5,1.25
IREN,j_strong25_di_surge,60,-25,60,3.0,3,True,11,9080520,63.6,9.51,2.45
IREN,j_vix_neutral_di_surge,80,-25,90,2.0,5,False,6,9058673,66.7,40.98,2.33
IREN,e4_consec3_surge_j,50,-25,45,3.0,3,False,6,9037155,100.0,37.14,1.5
IREN,e1_di_surge_j_macro,60,-25,60,3.0,3,False,7,9035680,71.4,32.91,1.71
IREN,j_strong25_macd_di,50,-25,45,3.0,3,True,11,8982437,63.6,9.7,2.45
IREN,j_strong25_di_surge,50,-25,45,3.0,3,True,11,8953732,63.6,9.35,2.45
PTIR,l_wide_macd_vol,30,-15,20,5.0,1,False,8,8937750,75.0,22.37,1.0
PTIR,j_vix_neutral_macd_di,60,-25,60,3.0,3,False,4,8929390,75.0,35.43,2.0
CONL,j_vix_neutral_rsi80,50,-25,45,5.0,1,False,3,8928296,100.0,59.58,1.0
