ticker,strategy,target,stop,hold,unit_mul,max_pyr,n,pnl,wr,avg,avg_layers
IREN,rsi7_80_btc2,50,-25,45,3.0,3,10,12970941,60.0,16.88,2.3
IREN,hh_hl_rsi_btc,50,-25,45,2.0,3,14,12950805,50.0,16.45,2.64
IREN,qqq_strong_macd,40,-20,30,2.0,3,23,12948959,52.2,8.73,2.17
IREN,mstr5_btc2_qqq,80,-25,90,3.0,3,11,12863803,36.4,10.92,2.27
IREN,rsi_accel_btc2_vol,60,-25,60,3.0,1,11,12767452,72.7,38.73,1.0
CONL,btc2_qqq_strong_vol,80,-25,90,2.0,3,11,12656278,45.5,25.46,2.0
IREN,btc2_qqq_strong_vol,50,-25,45,3.0,3,13,12628778,61.5,15.9,1.77
IREN,di_cross_surge_btc2,40,-20,30,3.0,1,19,12511027,68.4,21.97,1.0
IREN,triple_regime_all,50,-25,45,3.0,1,14,12402489,71.4,29.56,1.0
CONL,qqq_strong_macd,40,-20,30,2.0,3,22,12327705,54.5,9.32,2.14
CONL,vix_falling_btc2,80,-25,90,3.0,3,16,12277217,31.2,9.95,2.06
IREN,ma_aligned_btc2_vol,50,-25,45,3.0,3,8,12204101,75.0,27.08,1.88
CONL,rsi_accel_btc2_vol,80,-25,90,2.0,3,8,12203725,37.5,23.42,2.0
IREN,hh_hl_rsi_btc,40,-20,30,3.0,1,24,12133078,62.5,16.87,1.0
CONL,btc2_qqq_strong_vol,50,-25,45,3.0,1,18,12109290,55.6,22.45,1.0
IREN,hh_hl_rsi_btc,40,-20,30,2.0,3,21,12035406,61.9,10.04,2.29
IREN,consec4_btc1,60,-25,60,3.0,1,10,11811732,70.0,39.41,1.0
IREN,bb_macd_adx_btc2,50,-25,45,3.0,1,14,11780042,71.4,28.08,1.0
BITX,qqq_strong_macd,80,-25,90,3.0,3,12,11733642,33.3,5.99,2.08
IREN,bb_macd_adx_btc2,40,-20,30,3.0,1,20,11589777,65.0,19.34,1.0
BITX,vix_falling_btc2,80,-25,90,3.0,3,12,11566344,33.3,5.69,1.75
IREN,consec3_surge,40,-20,30,3.0,1,24,11557235,66.7,16.07,1.0
IREN,vix_falling_btc2,40,-20,30,3.0,1,26,11505547,57.7,14.77,1.0
CONL,hh_hl_rsi_btc,50,-25,45,2.0,3,18,11481872,44.4,10.36,2.44
IREN,triple_regime_strong,60,-25,60,3.0,1,16,11471702,56.2,23.92,1.0
IREN,triple_regime_all,40,-20,30,3.0,1,19,11361209,63.2,19.95,1.0
CONL,consec3_surge,60,-25,60,3.0,1,14,11343497,64.3,27.04,1.0
IREN,mstr5_btc2_qqq,50,-25,45,3.0,3,15,11266513,46.7,8.13,1.93
SOXL,rsi7_80_btc2,50,-25,45,3.0,3,10,11259439,70.0,12.26,2.3
BITX,bb_macd_adx_btc2,80,-25,90,3.0,3,12,11193725,33.3,6.32,2.25
CONL,hh_hl_rsi_btc,60,-25,60,3.0,1,18,11095006,50.0,20.57,1.0
TSLL,qqq_strong_macd,80,-25,90,2.0,3,11,11085140,36.4,17.64,2.09
TSLL,consec3_surge,50,-25,45,3.0,3,13,10998829,46.2,7.35,2.15
IREN,rsi_accel_btc2_vol,50,-25,45,2.0,3,11,10878191,72.7,24.29,1.91
IREN,di_cross_surge_btc2,50,-25,45,3.0,3,15,10856194,60.0,13.14,2.0
SOXL,di_cross_surge_btc2,50,-25,45,3.0,3,15,10779175,53.3,5.36,2.0
BITX,btc3_strong_rsi_accel,50,-25,45,3.0,3,7,10761190,71.4,18.98,2.0
IREN,triple_regime_strong,50,-25,45,2.0,3,16,10658865,50.0,10.15,1.88
IREN,di_cross_surge_btc2,40,-20,30,2.0,3,19,10647357,68.4,17.25,1.79
