ticker,strategy,target,stop,hold,unit_mul,max_pyr,trailing,n,pnl,wr,avg,avg_layers
NVDL,bo10_btc1plus,50,-25,45,1.0,3,False,12,6448622,58.3,12.63,2.33
IREN,rsi_accel,40,-20,45,1.0,3,False,19,6447239,47.4,8.35,2.32
CONL,surge_follow_btc,30,-20,30,2.0,1,False,35,6440892,54.3,9.21,1.0
PTIR,surge_strong_btc2,30,-20,30,1.5,2,False,11,6438963,72.7,19.46,1.55
CONL,rsi7_hot_btc2,50,-25,45,1.0,3,False,17,6436911,41.2,7.6,2.06
IREN,ma_align5_btc2,40,-20,45,1.0,3,False,16,6433495,56.2,12.74,2.38
IREN,ret5_surge_btc,40,-20,30,2.0,1,False,16,6429361,62.5,20.11,1.0
CONL,ma_align5_btc2,50,-25,45,1.0,3,False,15,6428126,46.7,11.78,2.33
IREN,rsi7_hot_btc2,30,-20,30,1.5,2,False,16,6384203,68.8,12.67,1.94
NVDL,surge_follow_btc,30,-20,30,1.5,2,False,28,6377771,57.1,4.08,1.57
IREN,ma_align5_btc2,30,-20,30,2.0,1,False,21,6331065,66.7,15.09,1.0
IREN,rsi_accel,30,-20,30,1.5,2,False,23,6272062,52.2,6.8,1.7
PTIR,bo10_btc1plus,50,-25,45,1.0,3,False,10,6256670,60.0,18.26,2.3
IREN,bo5_btc2,30,-20,30,2.0,1,False,18,6245942,66.7,17.37,1.0
IREN,bo5_btc2,30,-20,30,1.5,2,False,16,6215201,62.5,12.47,1.62
IREN,rsi7_hot_btc2,40,-20,30,2.0,1,False,16,6212007,68.8,19.43,1.0
PTIR,consec3_btc2,40,-20,45,1.0,3,False,9,6177298,66.7,24.32,1.89
PTIR,rsi_accel,50,-25,45,1.0,3,False,8,6176563,75.0,26.43,2.5
PTIR,consec3_btc2,50,-25,45,1.0,3,False,8,6143047,62.5,24.81,2.12
NVDL,bo10_macd_btc,50,-25,45,1.0,3,False,12,6141397,58.3,11.77,2.33
CONL,ma_align5_btc2,50,-25,45,2.0,1,False,18,6136872,50.0,17.06,1.0
IREN,ma_align5_btc2,50,-25,45,1.0,3,False,12,6129812,58.3,13.49,2.42
NVDL,rsi7_hot_btc2,50,-25,45,1.0,3,False,14,6117303,64.3,9.52,2.0
IREN,surge_follow_btc,30,-20,30,1.0,2,False,32,6114269,46.9,5.79,1.62
IREN,rsi_accel,30,-15,20,1.5,1,False,26,6109597,76.9,15.68,1.0
PTIR,bo10_macd_btc,50,-25,45,1.0,3,False,10,6062852,60.0,17.61,2.3
CONL,rsi_accel,40,-20,30,1.5,1,False,19,6020143,68.4,21.14,1.0
CONL,bo5_btc2,50,-25,45,1.0,3,False,16,6017691,43.8,9.33,2.25
PTIR,surge_strong_btc2,40,-20,30,1.0,2,False,9,5991310,77.8,30.76,1.78
PTIR,bo5_btc2,50,-25,45,2.0,1,False,9,5978544,66.7,33.25,1.0
IREN,bo10_vol_btc,30,-20,30,1.5,2,False,12,5962172,66.7,14.7,1.5
IREN,ret5_surge_btc,50,-25,45,1.0,3,False,11,5961041,54.5,15.08,2.45
IREN,ma_btc_ret7,40,-20,45,1.0,3,False,9,5930058,66.7,22.27,2.33
PTIR,ret5_surge_btc,50,-25,45,1.0,3,False,9,5905472,55.6,17.84,2.11
IREN,bo10_vol_btc,40,-20,45,1.0,3,False,10,5896613,50.0,15.38,2.1
IREN,ma_align60_btc2,50,-25,45,1.0,3,False,10,5859906,60.0,17.06,2.1
IREN,consec2_vol_btc,30,-20,30,2.0,1,False,22,5858815,63.6,13.33,1.0
NVDL,bo10_btc1plus,40,-20,45,1.0,3,False,12,5847941,58.3,12.87,2.33
IREN,surge_follow_btc,30,-20,30,2.0,1,False,32,5819011,53.1,9.1,1.0
CONL,consec3_btc2,50,-25,45,2.0,1,False,18,5779126,50.0,16.07,1.0
IREN,ma_align60_btc2,50,-25,45,2.0,1,False,10,5765990,70.0,28.86,1.0
PTIR,ret3_strong_btc,50,-25,45,2.0,1,False,11,5746024,63.6,26.14,1.0
IREN,btc_ret3_5pct,40,-20,45,1.0,3,False,15,5738000,60.0,14.47,1.6
NVDL,ret3_strong_btc,30,-20,30,1.5,2,False,15,5709350,80.0,11.01,1.8
CONL,consec3_btc2,40,-20,45,1.0,3,False,18,5698645,50.0,14.0,1.78
