ticker,strategy,target,stop,hold,unit_mul,n,pnl,wr,avg
IREN,triple_regime_all,40,-20,45,3.0,18,11314217,61.1,20.97
IREN,vix_falling_btc2,30,-20,30,3.0,28,11290791,60.7,13.45
IREN,vix_falling_btc2,20,-20,30,3.0,31,11222044,67.7,12.08
IREN,vix_falling_btc2,30,-20,45,3.0,28,11199711,64.3,13.35
IREN,coin_bull_btc2,20,-20,30,3.0,22,11195070,81.8,16.98
IREN,vix_spike_recover,50,-25,60,3.0,20,11194552,55.0,18.68
IREN,vix_low_btc2,30,-20,45,3.0,18,11176009,72.2,20.72
IREN,btc1_qqq_bull_rsi,60,-25,60,2.0,15,11172164,66.7,37.28
IREN,vix_fall_qqq_bull,25,-20,30,3.0,31,11111515,67.7,11.96
IREN,triple_regime_all,30,-20,45,3.0,19,11099810,73.7,19.49
IREN,soxl_bull_qqq,30,-20,45,3.0,25,11075319,64.0,14.78
PTIR,vix_falling_btc2,60,-25,60,3.0,11,11067181,63.6,33.57
IREN,vix_low_btc2,40,-20,30,3.0,20,11064710,60.0,18.46
IREN,vix_fall_qqq_bull,30,-20,45,3.0,27,11051382,63.0,13.66
IREN,btc_qqq_coin_all,20,-20,30,3.0,21,11049585,81.0,17.56
IREN,vix_low_btc2,30,-20,30,3.0,19,11023860,68.4,19.36
IREN,qqq_strong_macd,80,-25,90,3.0,14,11012631,50.0,26.25
IREN,vix_mid_btc1_rsi,25,-20,30,3.0,25,10998409,72.0,14.68
IREN,triple_regime_all,30,-20,30,3.0,22,10974983,68.2,16.65
IREN,soxl_ret5_pos,30,-20,45,3.0,25,10967066,64.0,14.64
CONL,qqq_strong_consec,60,-25,60,3.0,18,10929644,55.6,20.26
IREN,coin_bull_btc2,30,-20,45,3.0,18,10875084,72.2,20.16
CONL,btc2_qqq_strong,50,-25,45,3.0,20,10782553,55.0,17.99
CONL,qqq_strong_macd,20,-15,20,3.0,39,10777390,61.5,9.22
IREN,coin_pct10_qqq,60,-25,60,3.0,11,10765971,63.6,32.66
IREN,vix_fall_qqq_bull,50,-25,60,3.0,22,10746009,50.0,16.3
IREN,triple_regime_all,40,-20,30,3.0,20,10744308,60.0,17.93
IREN,triple_surge,80,-25,90,2.0,9,10727584,77.8,59.66
IREN,coin_bull_btc2,50,-25,60,3.0,13,10724133,61.5,27.53
IREN,vix_spike_recover,30,-20,45,3.0,28,10717972,60.7,12.77
IREN,qqq_strong_macd,50,-25,60,3.0,18,10699239,55.6,19.83
IREN,vix_low_btc2,40,-20,45,3.0,18,10696111,61.1,19.83
IREN,btc2_qqq_strong_vol,40,-20,30,3.0,19,10691083,63.2,18.78
IREN,qqq_ret10_btc2,80,-25,90,3.0,4,10673206,100.0,89.03
IREN,vix_low_btc2,60,-25,60,2.0,14,10666161,71.4,38.13
IREN,btc2_qqq_strong,50,-25,60,3.0,13,10637486,61.5,27.3
IREN,btc2_qqq_strong_vol,80,-25,90,3.0,10,10595018,70.0,35.35
IREN,btc2_qqq_strong,60,-25,60,3.0,12,10564136,58.3,29.37
PTIR,coin_rsi65_btc2,80,-25,90,3.0,4,10530056,100.0,87.84
IREN,triple_regime_all,20,-20,30,3.0,22,10502517,77.3,15.93
IREN,vix_falling_btc2,25,-20,30,3.0,28,10494167,60.7,12.51
IREN,qqq_strong_macd,40,-20,30,3.0,25,10490549,56.0,14.0
IREN,btc2_qqq_strong_vol,60,-25,60,3.0,13,10486395,61.5,26.92
CONL,triple_surge,60,-25,60,3.0,14,10483030,64.3,24.98
IREN,vix_fall_qqq_bull,20,-15,20,3.0,37,10472218,62.2,9.44
IREN,btc2_qqq_strong,40,-20,30,3.0,18,10470265,61.1,19.41
CONL,btc2_qqq_strong_vol,50,-25,60,3.0,18,10469005,61.1,19.41
IREN,qqq_strong_macd,30,-20,45,3.0,26,10412882,61.5,13.36
IREN,soxl_bull_qqq,80,-25,90,3.0,12,10410123,58.3,28.95
IREN,vix_mid_btc1_rsi,20,-15,20,3.0,30,10402631,70.0,11.57
IREN,vix_falling_btc2,40,-20,30,3.0,26,10388818,57.7,13.33
