period,ticker,strategy,n,pnl,wr,avg,p_target_pct,p_stop_pct,p_hold_days,p_trailing_pct,p_unit_mul,p_max_pyramid,p_pyramid_add_pct,p_btc_rsi_max,p_vix_min,p_vix_max,p_pct_ma20_min,p_vol_ratio_min,p_rsi14_min,p_di_min_gap,p_macd_threshold
train,IREN,strong25_macd,7,45504464,71.4,63.44,93.29335034599525,-32.8911777371952,82,,4.913703847495264,5,7.2051410384294945,75.7078147563517,15.988991072370824,37.07077863330029,-13.204209478559893,1.1405626070092458,25.652804979894537,-1.4153398783307938,-0.2328248306745913
train,CONL,strong25_macd,6,34817912,50.0,35.43,93.29335034599525,-32.8911777371952,82,,4.913703847495264,5,7.2051410384294945,75.7078147563517,15.988991072370824,37.07077863330029,-13.204209478559893,1.1405626070092458,25.652804979894537,-1.4153398783307938,-0.2328248306745913
train,PTIR,strong25_macd,5,49380230,80.0,52.4,93.29335034599525,-32.8911777371952,82,,4.913703847495264,5,7.2051410384294945,75.7078147563517,15.988991072370824,37.07077863330029,-13.204209478559893,1.1405626070092458,25.652804979894537,-1.4153398783307938,-0.2328248306745913
oos,IREN,strong25_macd,0,0,0.0,0.0,93.29335034599525,-32.8911777371952,82,,4.913703847495264,5,7.2051410384294945,75.7078147563517,15.988991072370824,37.07077863330029,-13.204209478559893,1.1405626070092458,25.652804979894537,-1.4153398783307938,-0.2328248306745913
oos,CONL,strong25_macd,0,0,0.0,0.0,93.29335034599525,-32.8911777371952,82,,4.913703847495264,5,7.2051410384294945,75.7078147563517,15.988991072370824,37.07077863330029,-13.204209478559893,1.1405626070092458,25.652804979894537,-1.4153398783307938,-0.2328248306745913
oos,PTIR,strong25_macd,0,0,0.0,0.0,93.29335034599525,-32.8911777371952,82,,4.913703847495264,5,7.2051410384294945,75.7078147563517,15.988991072370824,37.07077863330029,-13.204209478559893,1.1405626070092458,25.652804979894537,-1.4153398783307938,-0.2328248306745913
