ticker,strategy,target,stop,hold,unit_mul,n,pnl,wr,avg
NVDL,vcp_squeeze_bo,40,-20,30,3.0,17,9346609,76.5,18.35
IREN,vcp_squeeze_bo,25,-20,30,3.0,19,9325728,73.7,16.38
IREN,ma10_pull_vol,50,-20,45,3.0,9,9305459,77.8,34.5
IREN,bounce_btc1_rsi,20,-20,30,3.0,26,9295578,76.9,11.93
IREN,hh_hl_rsi_btc,40,-20,45,2.0,19,9271588,68.4,24.42
IREN,bounce_btc1_rsi,60,-25,60,2.0,15,9265352,66.7,30.92
PTIR,gap_fill_up_btc2,60,-25,60,3.0,6,9215455,83.3,51.25
IREN,nr5_bo_btc2,50,-25,45,3.0,8,9199933,87.5,38.37
IREN,nr5_bo_btc2,50,-20,45,3.0,8,9199933,87.5,38.37
IREN,gap_up3_btc1,30,-20,45,3.0,24,9192140,62.5,12.78
IREN,bounce_btc1_rsi,50,-25,45,3.0,18,9182731,55.6,17.02
IREN,gap_fill_up_btc2,60,-25,60,3.0,12,9178185,58.3,25.52
IREN,vcp_breakout_btc1,60,-25,60,3.0,12,9139001,66.7,25.41
PTIR,hh_hl_btc2,20,-20,30,3.0,15,9118042,80.0,20.28
NVDL,vcp_squeeze_bo,40,-20,45,3.0,14,9100185,71.4,21.69
IREN,bounce_btc1_rsi,30,-20,45,3.0,20,9096377,65.0,15.18
CONL,bounce_btc1_rsi,30,-20,45,3.0,23,9048524,56.5,13.13
PTIR,hh_hl_ma_btc2,15,-20,30,3.0,17,9039810,88.2,17.74
IREN,gap_up3_vol_btc,60,-25,60,2.0,13,8979475,69.2,34.57
CONL,gap_hh_hl_btc2,60,-25,60,3.0,18,8950841,50.0,16.59
IREN,gap_up_btc2,30,-20,45,3.0,23,8935074,65.2,12.96
PTIR,hh_hl_btc2,40,-20,45,3.0,11,8899616,72.7,27.0
IREN,hh_hl_btc2,40,-20,30,3.0,21,8886301,57.1,14.12
IREN,bounce_btc2,60,-25,60,2.0,12,8885839,75.0,37.06
IREN,hh_hl_ma_btc2,50,-20,45,3.0,16,8863461,62.5,18.48
IREN,ma10_pull_vol,40,-20,30,3.0,10,8860662,80.0,29.57
CONL,hh_hl_ma_btc2,50,-20,45,3.0,21,8848151,47.6,14.06
PTIR,hh_hl_ma_btc2,20,-20,30,3.0,15,8839193,80.0,19.66
IREN,gap_up3_btc1,50,-25,45,3.0,21,8811595,61.9,14.0
CONL,bounce_btc1_rsi,30,-20,30,3.0,24,8785076,54.2,12.21
IREN,bounce_btc1_rsi,15,-20,30,3.0,32,8784703,78.1,9.16
IREN,bounce_btc2,50,-25,45,3.0,14,8783030,64.3,20.93
IREN,vcp_squeeze_bo,20,-20,30,3.0,19,8774494,73.7,15.41
IREN,hh_hl_rsi_btc,50,-20,45,2.0,18,8763948,66.7,24.37
CONL,gap_up3_vol_btc,40,-20,45,3.0,18,8751817,55.6,16.22
CONL,vcp_squeeze_bo,60,-25,60,3.0,12,8745259,50.0,24.32
CONL,hh_hl_rsi_btc,60,-25,60,3.0,18,8743448,44.4,16.21
IREN,vcp_squeeze_bo,30,-20,30,3.0,17,8731124,70.6,17.14
PTIR,ma10_pull_btc2,40,-20,30,3.0,8,8682163,87.5,36.21
IREN,gap_hh_hl_btc2,50,-25,45,3.0,16,8677702,62.5,18.1
IREN,hh_hl_rsi_btc,50,-25,45,2.0,18,8657675,66.7,24.07
IREN,nr5_bo_btc2,40,-20,45,3.0,8,8657203,100.0,36.11
NVDL,vcp_squeeze_bo,25,-20,30,3.0,18,8656062,77.8,16.05
IREN,ma20_pull_btc2,60,-25,60,3.0,10,8632079,70.0,28.8
PTIR,hh_hl_ma_btc2,40,-20,45,3.0,11,8620767,72.7,26.15
IREN,vcp_squeeze_bo,50,-20,45,2.0,14,8618265,78.6,30.81
PTIR,hh_hl_rsi_btc,20,-20,30,3.0,17,8613372,76.5,16.91
CONL,gap_up_btc2,60,-25,60,3.0,21,8579124,47.6,13.63
IREN,vcp_squeeze_bo,50,-25,45,2.0,14,8570121,78.6,30.64
IREN,gap_up3_vol_btc,50,-20,45,3.0,13,8557602,61.5,21.96
IREN,bounce_btc2,20,-20,30,3.0,21,8556400,81.0,13.6
PTIR,hh_hl_btc2,50,-20,45,3.0,11,8547188,72.7,25.93
IREN,ma10_pull_btc2,60,-25,60,3.0,10,8545791,60.0,28.51
NVDL,vcp_squeeze_bo,30,-20,30,3.0,18,8528331,77.8,15.81
CONL,bounce_btc1_rsi,40,-20,45,3.0,21,8508997,52.4,13.52
IREN,gap_up3_vol_btc,40,-20,30,3.0,18,8469074,55.6,15.7
IREN,hh_hl_rsi_btc,40,-20,30,2.0,22,8458956,68.2,19.24
CONL,gap_fill_up_btc2,60,-25,60,3.0,17,8452550,52.9,16.59
IREN,bounce_btc1_rsi,50,-20,45,3.0,19,8446502,52.6,14.83
CONL,gap_up3_vol_btc,25,-15,20,3.0,24,8427651,58.3,11.72
PTIR,hh_hl_btc2,50,-25,45,3.0,11,8417135,72.7,25.53
CONL,gap_up3_vol_btc,25,-20,30,3.0,21,8409379,61.9,13.36
CONL,gap_up3_vol_btc,30,-20,30,2.0,19,8376431,68.4,22.07
IREN,bounce_btc2,40,-20,45,3.0,17,8326499,58.8,16.34
IREN,hh_hl_btc2,30,-20,30,3.0,23,8319762,60.9,12.07
PTIR,hh_hl_rsi_btc,30,-20,45,3.0,14,8308209,71.4,19.8
IREN,hh_hl_ma_btc2,20,-20,30,3.0,25,8289789,72.0,11.06
IREN,bounce_btc2,50,-20,45,3.0,16,8278485,56.2,17.26
PTIR,hh_hl_ma_btc2,50,-20,45,3.0,11,8268339,72.7,25.08
CONL,hh_hl_ma_btc2,40,-20,45,2.0,22,8267942,54.5,18.81
PTIR,vcp_squeeze_bo,20,-20,30,3.0,13,8257622,92.3,21.19
CONL,hh_hl_btc2,60,-25,60,3.0,20,8243227,45.0,13.75
CONL,hh_hl_ma_btc2,50,-25,45,3.0,20,8233563,50.0,13.74
IREN,hh_hl_rsi_btc,30,-20,45,2.0,23,8223078,69.6,17.89
PTIR,hh_hl_btc2,25,-20,30,3.0,13,8222514,76.9,21.1
IREN,gap_up3_vol_btc,50,-25,45,3.0,13,8208959,61.5,21.07
IREN,ma20_pull_btc2,40,-20,45,3.0,11,8180519,72.7,24.81
IREN,vcp_squeeze_bo,25,-15,20,3.0,20,8169506,65.0,13.63
CONL,hh_hl_ma_btc2,30,-20,45,3.0,25,8144534,52.0,10.87
PTIR,hh_hl_ma_btc2,50,-25,45,3.0,11,8138286,72.7,24.69
IREN,bounce_btc1_rsi,40,-20,45,3.0,20,8122968,55.0,13.55
PTIR,engulf_btc2,60,-25,60,3.0,4,8112771,100.0,67.67
PTIR,hh_hl_btc2,30,-20,45,3.0,12,8112260,75.0,22.56
IREN,hh_hl_ma_btc2,50,-25,45,3.0,15,8110743,66.7,18.04
IREN,ma10_pull_vol,40,-20,45,3.0,9,8096178,77.8,30.02
PTIR,gap_up_btc2,50,-20,45,3.0,10,8091844,70.0,27.0
PTIR,ma10_pull_btc2,40,-20,45,3.0,8,8084289,75.0,33.72
IREN,hh_hl_ma_btc2,30,-20,30,3.0,23,8078881,65.2,11.72
